region,city,district,population,wkt
منطقة مكة المكرمة,جدة,أبحر الشمالية,46,"POLYGON ((39.137353 21.783718, 39.140238 21.781433, 39.143702 21.778043, 39.14544 21.776022, 39.147439 21.772943, 39.146306 21.77221, 39.146169 21.772413, 39.146299 21.772343, 39.146285 21.77254, 39.146132 21.772497, 39.145957 21.772657, 39.146119 21.772634, 39.145995 21.77283, 39.145894 21.772705, 39.14567 21.772808, 39.145843 21.77283, 39.145694 21.772967, 39.145607 21.772838, 39.145389 21.772875, 39.145519 21.772934, 39.145311 21.773032, 39.14531 21.772884, 39.145055 21.772877, 39.145203 21.772939, 39.144979 21.773025, 39.144971 21.772868, 39.144737 21.772794, 39.144855 21.77289, 39.144669 21.772936, 39.144651 21.772765, 39.144449 21.77264, 39.144521 21.772782, 39.144283 21.77272, 39.14437 21.772584, 39.144205 21.772459, 39.144235 21.772599, 39.144058 21.772552, 39.144131 21.772402, 39.143959 21.77227, 39.143993 21.772409, 39.143811 21.772348, 39.143906 21.772228, 39.143712 21.772075, 39.143771 21.772222, 39.143575 21.772171, 39.143656 21.772034, 39.143483 21.771899, 39.143511 21.772032, 39.143333 21.771976, 39.143418 21.771841, 39.143212 21.771709, 39.143277 21.771846, 39.143073 21.771827, 39.143135 21.771666, 39.142909 21.77155, 39.143001 21.771674, 39.142798 21.771668, 39.142833 21.771509, 39.142611 21.771411, 39.142728 21.771492, 39.142523 21.771553, 39.142529 21.771374, 39.142329 21.77129, 39.142432 21.771362, 39.142223 21.771423, 39.142236 21.77125, 39.142032 21.771177, 39.142102 21.771311, 39.141937 21.771312, 39.14196 21.771152, 39.141751 21.771083, 39.141828 21.771201, 39.141673 21.771226, 39.14167 21.771057, 39.141458 21.770996, 39.141538 21.771117, 39.141355 21.771133, 39.141382 21.770978, 39.141168 21.770915, 39.141247 21.771038, 39.141085 21.771056, 39.1411 21.770897, 39.140888 21.770833, 39.140994 21.770904, 39.140823 21.77098, 39.140829 21.770817, 39.140615 21.770754, 39.140695 21.770876, 39.14053 21.770901, 39.140548 21.770731, 39.140339 21.770668, 39.140436 21.770757, 39.140274 21.77081, 39.140274 21.770648, 39.140066 21.770581, 39.140136 21.770705, 39.139978 21.770721, 39.139996 21.770566, 39.139788 21.7705, 39.139879 21.770601, 39.139716 21.770644, 39.139725 21.770482, 39.139206 21.770305, 39.139316 21.770375, 39.139116 21.770448, 39.139133 21.770276, 39.13894 21.770198, 39.139001 21.770327, 39.138864 21.770337, 39.138871 21.770172, 39.138671 21.770084, 39.138739 21.770207, 39.138555 21.770203, 39.138604 21.770055, 39.138416 21.769962, 39.138484 21.770079, 39.138308 21.770086, 39.138344 21.769929, 39.138152 21.769835, 39.138252 21.769918, 39.13806 21.769972, 39.138087 21.769802, 39.137903 21.769706, 39.137988 21.769787, 39.137802 21.769832, 39.13783 21.769668, 39.137655 21.769556, 39.137696 21.769685, 39.137545 21.76967, 39.137598 21.769518, 39.137433 21.769388, 39.137451 21.769527, 39.137292 21.769474, 39.13738 21.769336, 39.137231 21.769188, 39.137233 21.769318, 39.137081 21.769249, 39.13718 21.769132, 39.137074 21.768955, 39.137008 21.769193, 39.136808 21.769038, 39.137 21.768876, 39.136762 21.768751, 39.136878 21.76867, 39.1368 21.76847, 39.136769 21.768595, 39.13666 21.768492, 39.136773 21.7684, 39.136723 21.768173, 39.136708 21.768334, 39.136556 21.7682, 39.136702 21.768105, 39.136684 21.767849, 39.136656 21.767994, 39.136514 21.767917, 39.136734 21.76774, 39.136721 21.767127, 39.136206 21.767362, 39.136101 21.767177, 39.136233 21.767039, 39.136211 21.766904, 39.13608 21.766944, 39.136206 21.766575, 39.136733 21.766279, 39.136689 21.766026, 39.136191 21.765865, 39.136009 21.76645, 39.135641 21.766732, 39.135396 21.766632, 39.13533 21.766406, 39.135193 21.766497, 39.135072 21.766384, 39.135337 21.766037, 39.135452 21.766141, 39.135666 21.766008, 39.135673 21.765813, 39.135505 21.765798, 39.13507 21.766061, 39.134735 21.76656, 39.134636 21.766473, 39.134919 21.765713, 39.135242 21.765728, 39.134903 21.765496, 39.134743 21.765946, 39.134367 21.766367, 39.134711 21.766604, 39.134348 21.766711, 39.133961 21.766391, 39.134535 21.76585, 39.134685 21.765371, 39.134495 21.76569, 39.134379 21.765622, 39.133773 21.766181, 39.133401 21.766298, 39.134469 21.765398, 39.134382 21.765184, 39.134185 21.76524, 39.13346 21.765839, 39.134138 21.764855, 39.13359 21.764721, 39.133509 21.764519, 39.133837 21.764542, 39.133687 21.764493, 39.133624 21.76416, 39.133987 21.76418, 39.134052 21.764057, 39.133633 21.763973, 39.133484 21.764487, 39.133149 21.764438, 39.133271 21.764245, 39.133155 21.764356, 39.132787 21.765317, 39.132647 21.765335, 39.132775 21.765104, 39.132312 21.765434, 39.132046 21.765274, 39.132446 21.765142, 39.132371 21.764987, 39.131968 21.765186, 39.13188 21.765002, 39.132318 21.764868, 39.132252 21.764482, 39.13308 21.764257, 39.133083 21.764181, 39.132221 21.764468, 39.132574 21.764248, 39.132652 21.763816, 39.132458 21.763945, 39.132314 21.763778, 39.132547 21.763714, 39.132084 21.763757, 39.132055 21.763385, 39.132456 21.763219, 39.131933 21.76321, 39.131716 21.762345, 39.131773 21.761633, 39.132983 21.760468, 39.133257 21.760334, 39.133358 21.760445, 39.133355 21.760058, 39.133203 21.76025, 39.132474 21.760259, 39.131331 21.759802, 39.130844 21.75902, 39.13078 21.758446, 39.131787 21.758121, 39.130832 21.758332, 39.130773 21.758108, 39.130974 21.757986, 39.13052 21.757345, 39.130688 21.75708, 39.130464 21.756966, 39.130435 21.756728, 39.130178 21.756792, 39.130056 21.756467, 39.130684 21.755968, 39.130512 21.755939, 39.129899 21.756421, 39.129903 21.756238, 39.129749 21.756, 39.129857 21.7564, 39.129679 21.756504, 39.129291 21.756167, 39.130469 21.755387, 39.130393 21.755251, 39.130235 21.755349, 39.130304 21.75544, 39.129735 21.755712, 39.129528 21.755007, 39.130194 21.754821, 39.130441 21.755108, 39.130606 21.755066, 39.130546 21.754881, 39.130307 21.754946, 39.130267 21.754799, 39.130487 21.754705, 39.129446 21.754958, 39.129418 21.754845, 39.130234 21.754755, 39.130216 21.75464, 39.129413 21.754819, 39.12936 21.754523, 39.130062 21.754351, 39.129941 21.754264, 39.129398 21.754483, 39.129156 21.754124, 39.129989 21.753889, 39.129915 21.753727, 39.129197 21.754055, 39.129121 21.753903, 39.130142 21.753545, 39.130169 21.753307, 39.128166 21.753933, 39.127955 21.753792, 39.128253 21.753763, 39.128219 21.753639, 39.127938 21.753729, 39.127986 21.753566, 39.130019 21.753183, 39.129997 21.752911, 39.128882 21.75315, 39.128772 21.753026, 39.129794 21.752743, 39.128983 21.752789, 39.12918 21.752646, 39.129111 21.752058, 39.129499 21.752098, 39.129105 21.752023, 39.129148 21.751384, 39.129696 21.750748, 39.129214 21.751042, 39.128849 21.750741, 39.128897 21.750577, 39.129143 21.750528, 39.12897 21.750366, 39.128695 21.750701, 39.127814 21.750299, 39.127264 21.750614, 39.12732 21.750913, 39.127137 21.750968, 39.127058 21.750438, 39.127196 21.750427, 39.127187 21.750356, 39.127053 21.750412, 39.127055 21.749927, 39.126911 21.749966, 39.126895 21.749795, 39.126862 21.75006, 39.126992 21.750057, 39.127052 21.750702, 39.126934 21.750706, 39.126938 21.750777, 39.127061 21.750722, 39.12707 21.750953, 39.126709 21.75079, 39.126708 21.750437, 39.126585 21.750822, 39.126262 21.750734, 39.12637 21.750396, 39.126216 21.750559, 39.125815 21.750483, 39.126108 21.748608, 39.125984 21.748607, 39.125779 21.750494, 39.125594 21.750638, 39.12526 21.750523, 39.125226 21.749414, 39.125057 21.749345, 39.125316 21.748398, 39.12492 21.748081, 39.124428 21.748309, 39.124596 21.74862, 39.12442 21.74889, 39.124797 21.749091, 39.124655 21.750011, 39.1243 21.749915, 39.124477 21.749675, 39.124367 21.749463, 39.123487 21.74935, 39.123791 21.748427, 39.123391 21.748146, 39.12313 21.748474, 39.123194 21.749458, 39.12273 21.749454, 39.122689 21.750413, 39.122479 21.750366, 39.122393 21.748971, 39.122248 21.749077, 39.122345 21.749508, 39.122201 21.749559, 39.122158 21.749985, 39.122046 21.748444, 39.121944 21.749116, 39.122049 21.750333, 39.12184 21.750252, 39.121765 21.74884, 39.121555 21.748591, 39.121657 21.748311, 39.121452 21.748211, 39.121458 21.74895, 39.121286 21.749234, 39.121611 21.749314, 39.121673 21.749617, 39.121126 21.749798, 39.121075 21.75034, 39.120905 21.750259, 39.120856 21.75038, 39.120859 21.749655, 39.120726 21.749655, 39.120783 21.750339, 39.120291 21.750292, 39.120377 21.74962, 39.120253 21.749355, 39.12048 21.749113, 39.120214 21.749341, 39.12012 21.750261, 39.119402 21.750045, 39.119723 21.749043, 39.119297 21.749936, 39.11866 21.749725, 39.118862 21.749133, 39.119085 21.749328, 39.119203 21.749113, 39.118908 21.749028, 39.119268 21.748102, 39.118979 21.747966, 39.118078 21.749469, 39.117906 21.749418, 39.118661 21.748094, 39.11789 21.749391, 39.117858 21.749384, 39.118705 21.747841, 39.118563 21.747755, 39.118034 21.748588, 39.117787 21.748518, 39.117695 21.748378, 39.117898 21.748379, 39.117751 21.74831, 39.117914 21.748121, 39.117924 21.748276, 39.118055 21.748233, 39.117933 21.748107, 39.118037 21.747978, 39.11806 21.748142, 39.118192 21.748095, 39.118055 21.74796, 39.118169 21.747821, 39.118287 21.747962, 39.118399 21.74785, 39.118195 21.747796, 39.118467 21.747596, 39.118333 21.747501, 39.118155 21.7478, 39.118 21.747668, 39.118127 21.747826, 39.118044 21.747925, 39.117974 21.747775, 39.11786 21.748017, 39.117688 21.747961, 39.117721 21.748131, 39.117895 21.748099, 39.117804 21.748206, 39.117615 21.748137, 39.117622 21.74827, 39.11778 21.748232, 39.117488 21.748333, 39.117497 21.748453, 39.117639 21.748398, 39.117534 21.74852, 39.117372 21.748468, 39.117367 21.748593, 39.117517 21.748541, 39.117428 21.74865, 39.116949 21.748602, 39.117988 21.747387, 39.117997 21.747273, 39.116927 21.748583, 39.116734 21.748451, 39.116666 21.748338, 39.117775 21.746987, 39.117308 21.747229, 39.117244 21.746924, 39.117297 21.747288, 39.117144 21.747451, 39.11693 21.747371, 39.116823 21.747159, 39.11703 21.746831, 39.11733 21.746768, 39.117084 21.746517, 39.116303 21.74747, 39.116164 21.747431, 39.116531 21.747156, 39.116149 21.747381, 39.116054 21.747226, 39.116197 21.746942, 39.116883 21.746219, 39.116255 21.74573, 39.115773 21.746358, 39.11554 21.746181, 39.115603 21.74597, 39.115249 21.746019, 39.115262 21.745807, 39.116066 21.745381, 39.116204 21.745505, 39.116084 21.745303, 39.115187 21.745776, 39.115098 21.745614, 39.115771 21.745324, 39.115774 21.745245, 39.115052 21.74553, 39.115054 21.745165, 39.115728 21.744927, 39.11504 21.745132, 39.115047 21.744806, 39.115187 21.74481, 39.115034 21.744759, 39.115046 21.744172, 39.115773 21.744125, 39.115768 21.744052, 39.115048 21.744148, 39.115288 21.743888, 39.115893 21.743766, 39.115933 21.743606, 39.115632 21.743533, 39.115383 21.743754, 39.115271 21.743443, 39.116012 21.743549, 39.116016 21.743371, 39.115256 21.743411, 39.115242 21.743226, 39.115676 21.742904, 39.116127 21.742825, 39.115138 21.742726, 39.115107 21.742234, 39.11598 21.74224, 39.11606 21.742005, 39.115034 21.742125, 39.114576 21.741186, 39.114767 21.740537, 39.115162 21.740316, 39.115195 21.739088, 39.115025 21.738484, 39.114553 21.738088, 39.113994 21.737926, 39.113518 21.737977, 39.113045 21.7383, 39.112492 21.738148, 39.11365 21.736883, 39.113849 21.736904, 39.113719 21.736785, 39.112468 21.738115, 39.112144 21.737924, 39.114082 21.736246, 39.113826 21.735992, 39.113975 21.736292, 39.113673 21.736329, 39.113748 21.7365, 39.113218 21.736953, 39.112986 21.736706, 39.11266 21.736942, 39.11266 21.737247, 39.11238 21.737364, 39.112276 21.73714, 39.112789 21.736721, 39.112421 21.735545, 39.113026 21.735386, 39.11301 21.735297, 39.112406 21.735512, 39.112317 21.735303, 39.110974 21.735331, 39.110868 21.735213, 39.110968 21.734379, 39.110795 21.73351, 39.112235 21.733563, 39.112258 21.733442, 39.110884 21.733473, 39.112542 21.733308, 39.112539 21.733161, 39.110904 21.73339, 39.110926 21.733073, 39.112071 21.73311, 39.110855 21.73303, 39.110742 21.73235, 39.110864 21.732022, 39.112405 21.732202, 39.112795 21.732074, 39.112827 21.732241, 39.112857 21.731775, 39.112805 21.732051, 39.112321 21.732014, 39.112291 21.731733, 39.111968 21.731901, 39.110879 21.731813, 39.110885 21.731302, 39.111526 21.731266, 39.111663 21.731002, 39.110834 21.731003, 39.110807 21.730684, 39.111376 21.730474, 39.111371 21.730701, 39.111565 21.730623, 39.111435 21.730478, 39.111615 21.730467, 39.111671 21.730648, 39.111649 21.730471, 39.111836 21.730455, 39.111703 21.730614, 39.111841 21.73054, 39.111892 21.730678, 39.111846 21.730499, 39.111878 21.730455, 39.112023 21.730439, 39.111922 21.730627, 39.111996 21.730627, 39.111996 21.730503, 39.11203 21.730503, 39.112087 21.730648, 39.112165 21.730485, 39.11205 21.730439, 39.112202 21.730434, 39.112283 21.730671, 39.112244 21.730542, 39.112323 21.73065, 39.112313 21.730494, 39.112463 21.730517, 39.112241 21.730432, 39.112509 21.730424, 39.11269 21.730568, 39.112699 21.730697, 39.112634 21.730569, 39.1125 21.730594, 39.112621 21.730696, 39.112426 21.730722, 39.112492 21.730819, 39.112705 21.730716, 39.112776 21.73088, 39.112749 21.730632, 39.112953 21.730616, 39.11299 21.730937, 39.113173 21.730856, 39.112842 21.730344, 39.112704 21.730508, 39.112534 21.730368, 39.112078 21.73038, 39.112066 21.730281, 39.111533 21.7303, 39.111528 21.730157, 39.111503 21.730324, 39.110972 21.730249, 39.110918 21.729811, 39.111844 21.729776, 39.111974 21.729716, 39.11188 21.729519, 39.110566 21.729698, 39.110473 21.729585, 39.110847 21.728641, 39.111789 21.727676, 39.112185 21.726836, 39.112819 21.726988, 39.112887 21.726904, 39.112216 21.72678, 39.112199 21.72536, 39.111561 21.723617, 39.111271 21.724, 39.108408 21.724873, 39.108211 21.724828, 39.107945 21.724032, 39.107087 21.724106, 39.106673 21.724739, 39.106264 21.72473, 39.106193 21.724616, 39.106499 21.724077, 39.107256 21.721621, 39.106691 21.721521, 39.107164 21.721687, 39.10643 21.723857, 39.106106 21.723757, 39.10674 21.722142, 39.106598 21.722097, 39.106097 21.723651, 39.106143 21.723319, 39.10606 21.723404, 39.105804 21.72322, 39.105681 21.723366, 39.106443 21.721448, 39.106114 21.721399, 39.105615 21.723087, 39.105241 21.723205, 39.105137 21.723558, 39.104805 21.72399, 39.104625 21.724125, 39.105121 21.723513, 39.104915 21.723634, 39.105189 21.723166, 39.105408 21.723051, 39.105369 21.722852, 39.105689 21.72227, 39.104582 21.723818, 39.104473 21.723721, 39.104735 21.723329, 39.104518 21.723342, 39.104313 21.723113, 39.105005 21.722374, 39.10433 21.723039, 39.104065 21.723045, 39.104041 21.722916, 39.104662 21.721919, 39.104609 21.72188, 39.104135 21.722715, 39.103988 21.722561, 39.104524 21.72149, 39.103934 21.722534, 39.103944 21.722853, 39.103656 21.722687, 39.104297 21.721392, 39.10426 21.721376, 39.103756 21.722334, 39.103593 21.722311, 39.103768 21.721839, 39.10389 21.721878, 39.103927 21.721779, 39.103732 21.721708, 39.103515 21.722389, 39.102552 21.722426, 39.102017 21.722219, 39.102221 21.721754, 39.102031 21.722093, 39.101787 21.722096, 39.101038 21.72159, 39.101483 21.721224, 39.10139 21.721147, 39.101015 21.721574, 39.100793 21.721495, 39.101151 21.721086, 39.101034 21.721017, 39.100767 21.721474, 39.100316 21.721399, 39.100178 21.72163, 39.09986 21.7217, 39.099887 21.721423, 39.099794 21.721654, 39.099364 21.721532, 39.099404 21.721366, 39.099612 21.721346, 39.099343 21.721321, 39.099397 21.721074, 39.099679 21.720988, 39.099307 21.721037, 39.099226 21.721614, 39.098528 21.721313, 39.099334 21.720811, 39.099271 21.720734, 39.098544 21.721264, 39.097939 21.72094, 39.098266 21.720444, 39.098505 21.720552, 39.098341 21.720373, 39.098164 21.72042, 39.097923 21.720922, 39.097562 21.720703, 39.096767 21.719708, 39.097111 21.719292, 39.097204 21.719368, 39.097281 21.719282, 39.09715 21.719135, 39.096732 21.719612, 39.095288 21.718087, 39.095266 21.71781, 39.095666 21.717703, 39.095558 21.717392, 39.095195 21.717621, 39.094875 21.717213, 39.095371 21.71701, 39.095143 21.716526, 39.095295 21.717003, 39.094859 21.717115, 39.095023 21.716832, 39.094792 21.716287, 39.094969 21.716195, 39.095091 21.716511, 39.095133 21.716261, 39.094995 21.716006, 39.094751 21.716279, 39.094578 21.716064, 39.094758 21.715922, 39.094583 21.715724, 39.095034 21.715706, 39.094556 21.71565, 39.094642 21.715364, 39.094882 21.715354, 39.094637 21.715327, 39.094647 21.715036, 39.094917 21.715039, 39.094898 21.714865, 39.094641 21.714997, 39.094594 21.71455, 39.094964 21.714557, 39.094865 21.714365, 39.094591 21.714499, 39.094568 21.713727, 39.094854 21.713663, 39.094752 21.713364, 39.094808 21.713609, 39.094605 21.713681, 39.094505 21.713232, 39.094689 21.713177, 39.094398 21.713117, 39.094481 21.712135, 39.094746 21.711964, 39.094483 21.712075, 39.094305 21.711631, 39.094635 21.711486, 39.094172 21.711597, 39.0939 21.7112, 39.093858 21.710842, 39.094202 21.710828, 39.094155 21.710678, 39.093838 21.710812, 39.09371 21.710429, 39.093922 21.710009, 39.094152 21.709893, 39.094021 21.709752, 39.093806 21.709884, 39.093699 21.709743, 39.093833 21.709637, 39.093593 21.709653, 39.093214 21.708748, 39.092678 21.708213, 39.093029 21.707926, 39.092923 21.707821, 39.092614 21.708153, 39.09239 21.70777, 39.092155 21.70777, 39.092364 21.707397, 39.09223 21.707547, 39.092147 21.70741, 39.091535 21.707458, 39.091672 21.707359, 39.091587 21.707198, 39.091972 21.707245, 39.091986 21.707179, 39.091505 21.707077, 39.09148 21.707577, 39.091464 21.707393, 39.091047 21.707372, 39.090859 21.707387, 39.090841 21.707558, 39.089542 21.707728, 39.089357 21.707415, 39.089224 21.707476, 39.089506 21.707766, 39.089184 21.707914, 39.088965 21.707674, 39.089061 21.707566, 39.08883 21.707649, 39.089006 21.708006, 39.088021 21.708537, 39.087778 21.708494, 39.087765 21.707993, 39.087413 21.708885, 39.08682 21.708882, 39.086865 21.708086, 39.086314 21.708036, 39.086106 21.708413, 39.086584 21.70932, 39.085565 21.710051, 39.085466 21.709744, 39.084155 21.708864, 39.084055 21.709169, 39.084312 21.709112, 39.08503 21.709645, 39.084876 21.709868, 39.084467 21.709676, 39.084711 21.709911, 39.084602 21.710158, 39.08325 21.709196, 39.082984 21.709452, 39.083237 21.709677, 39.08315 21.709748, 39.082845 21.709504, 39.082744 21.709702, 39.08439 21.710731, 39.0843 21.710912, 39.084436 21.71073, 39.084564 21.710809, 39.084422 21.711133, 39.084136 21.711052, 39.084377 21.711308, 39.083838 21.711831, 39.082386 21.71068, 39.08243 21.71028, 39.082189 21.71034, 39.082069 21.710485, 39.08387 21.711904, 39.083111 21.712472, 39.082671 21.712178, 39.082742 21.712068, 39.082655 21.712164, 39.082481 21.712056, 39.082663 21.712097, 39.082613 21.711956, 39.082464 21.712041, 39.082417 21.711868, 39.082099 21.711783, 39.082111 21.711512, 39.081855 21.711601, 39.081632 21.711335, 39.081142 21.711219, 39.081407 21.711613, 39.081648 21.7116, 39.081884 21.71188, 39.08299 21.712497, 39.082908 21.712864, 39.083039 21.713129, 39.082578 21.713671, 39.080606 21.712789, 39.080546 21.712894, 39.082444 21.71368, 39.082259 21.713946, 39.080134 21.713006, 39.082264 21.714042, 39.082158 21.714473, 39.081929 21.71467, 39.080337 21.714025, 39.080399 21.713889, 39.079935 21.713827, 39.080156 21.714007, 39.081919 21.714738, 39.08157 21.715248, 39.080273 21.714578, 39.080873 21.714921, 39.080764 21.715157, 39.080083 21.714767, 39.07996 21.7145, 39.07958 21.714448, 39.079632 21.714895, 39.080653 21.715453, 39.080435 21.715774, 39.080181 21.715655, 39.079709 21.716761, 39.079506 21.716868, 39.07963 21.716963, 39.07938 21.717492, 39.079127 21.717628, 39.078333 21.719417, 39.078058 21.71972, 39.078204 21.719774, 39.07833 21.719497, 39.078706 21.719668, 39.078584 21.720058, 39.079131 21.720265, 39.079063 21.720531, 39.078276 21.720303, 39.078436 21.720251, 39.078408 21.720072, 39.078183 21.720092, 39.078226 21.720286, 39.077318 21.720001, 39.077429 21.719715, 39.077275 21.719663, 39.076582 21.721352, 39.076849 21.721384, 39.076982 21.721092, 39.077262 21.721162, 39.076971 21.721469, 39.077595 21.721623, 39.077646 21.721459, 39.077625 21.721629, 39.077927 21.721698, 39.077974 21.721534, 39.077957 21.721705, 39.078137 21.721757, 39.077883 21.721858, 39.077415 21.721737, 39.077426 21.721594, 39.077172 21.721662, 39.076473 21.721437, 39.07631 21.721678, 39.077103 21.721713, 39.077253 21.722024, 39.078313 21.722273, 39.078343 21.722452, 39.07606 21.722133, 39.078314 21.722665, 39.078371 21.722965, 39.077977 21.722798, 39.077878 21.722958, 39.078349 21.723052, 39.078329 21.72328, 39.077304 21.723016, 39.077568 21.722974, 39.075645 21.722595, 39.078263 21.723342, 39.077988 21.724209, 39.077718 21.72432, 39.077089 21.725298, 39.076025 21.724828, 39.076084 21.724668, 39.075966 21.724641, 39.075882 21.72483, 39.077045 21.725342, 39.076584 21.725725, 39.074734 21.724934, 39.074787 21.725123, 39.075854 21.725562, 39.075557 21.726086, 39.074526 21.725598, 39.074418 21.725566, 39.074361 21.725674, 39.076061 21.726396, 39.076064 21.72664, 39.074295 21.725681, 39.074262 21.725769, 39.076152 21.726723, 39.076051 21.726988, 39.074265 21.726049, 39.074119 21.725841, 39.07394 21.725872, 39.074025 21.72633, 39.073912 21.726605, 39.07421 21.726425, 39.074483 21.726564, 39.074516 21.726873, 39.074839 21.727, 39.074823 21.727249, 39.07452 21.727247, 39.074389 21.727014, 39.074079 21.727115, 39.073774 21.72688, 39.073741 21.726531, 39.07341 21.726856, 39.075057 21.728267, 39.074887 21.728511, 39.073552 21.727387, 39.073157 21.727152, 39.073079 21.727225, 39.074877 21.728557, 39.074564 21.728526, 39.074756 21.728655, 39.07447 21.72867, 39.07467 21.728798, 39.074616 21.728906, 39.074424 21.728963, 39.072736 21.727623, 39.071835 21.728685, 39.072145 21.729189, 39.073228 21.73014, 39.07304 21.730487, 39.072797 21.73062, 39.071151 21.729277, 39.07141 21.728941, 39.071295 21.728884, 39.070807 21.729396, 39.070809 21.729568, 39.071068 21.729714, 39.071298 21.729613, 39.072622 21.730687, 39.072554 21.73092, 39.072133 21.731263, 39.070481 21.729959, 39.070375 21.730169, 39.070506 21.730221, 39.071913 21.731419, 39.071865 21.731506, 39.071676 21.731527, 39.070753 21.730728, 39.070884 21.730584, 39.070772 21.730476, 39.070436 21.730824, 39.070494 21.730928, 39.069987 21.730533, 39.069856 21.730689, 39.070773 21.731525, 39.070897 21.731893, 39.070793 21.731978, 39.070383 21.731508, 39.070109 21.731634, 39.070652 21.732048, 39.070503 21.732207, 39.070185 21.731995, 39.070563 21.732316, 39.070213 21.732236, 39.070507 21.732603, 39.070238 21.732546, 39.069807 21.732158, 39.06979 21.73196, 39.069582 21.732107, 39.069363 21.731936, 39.069098 21.73226, 39.069293 21.732533, 39.069128 21.732498, 39.068738 21.732287, 39.068836 21.731998, 39.06817 21.732785, 39.068195 21.733124, 39.068041 21.733067, 39.068239 21.733257, 39.068387 21.733124, 39.068811 21.733463, 39.068715 21.733735, 39.068466 21.733816, 39.068157 21.733545, 39.068256 21.733395, 39.067916 21.733184, 39.067661 21.733469, 39.089187 21.749196, 39.089392 21.749113, 39.102808 21.758696, 39.112704 21.765855, 39.112602 21.765982, 39.137353 21.783718))"
منطقة مكة المكرمة,جدة,النعيم,34,"POLYGON ((39.147171 21.640692, 39.149997 21.636679, 39.151128 21.634531, 39.152284 21.631759, 39.153183 21.628504, 39.154359 21.62011, 39.155525 21.613914, 39.141154 21.610894, 39.14091 21.611903, 39.138548 21.61791, 39.137634 21.621819, 39.130494 21.639944, 39.144148 21.644636, 39.147171 21.640692))"
منطقة الرياض,الرياض,الياسمين,28,"POLYGON ((46.66009 24.829609, 46.669843 24.810265, 46.651878 24.802708, 46.643603 24.819123, 46.62239 24.810188, 46.614113 24.826583, 46.653287 24.843064, 46.66009 24.829609))"
منطقة الجوف,دومة الجندل,النزهة,196,"POLYGON ((39.832948 29.794746, 39.831604 29.791388, 39.820161 29.794021, 39.811952 29.798464, 39.813649 29.803279, 39.827132 29.796498, 39.830303 29.795257, 39.832948 29.794746))"
منطقة تبوك,تبوك,كريم,57,"POLYGON ((36.551182 28.367938, 36.550231 28.366953, 36.550281 28.366441, 36.549749 28.36556, 36.551113 28.364676, 36.550322 28.363794, 36.5474 28.364483, 36.544013 28.366174, 36.544674 28.367113, 36.541406 28.368281, 36.541166 28.367909, 36.538105 28.369555, 36.539486 28.371628, 36.542137 28.374698, 36.542982 28.37412, 36.54429 28.372176, 36.545246 28.371113, 36.544819 28.370847, 36.546157 28.369398, 36.546052 28.369251, 36.54885 28.368249, 36.549282 28.368799, 36.551182 28.367938))"
منطقة جازان,جازان,الصفا,113,"POLYGON ((42.586562 16.88335, 42.58549 16.882707, 42.567505 16.879417, 42.563429 16.878434, 42.562885 16.878106, 42.562565 16.877692, 42.558302 16.88832, 42.557157 16.891594, 42.557735 16.891144, 42.559684 16.890449, 42.580867 16.884618, 42.585084 16.883829, 42.586562 16.88335))"
منطقة جازان,جازان,الصفا,113,"POLYGON ((42.825362 16.97235, 42.817617 16.97096, 42.809984 16.973595, 42.810148 16.982923, 42.810727 16.983723, 42.815725 16.98, 42.81832 16.978548, 42.822757 16.974901, 42.825362 16.97235))"
منطقة تبوك,الوجه,حي البلد,115,"POLYGON ((36.463436 26.23227, 36.464083 26.23113, 36.465485 26.231026, 36.465811 26.230902, 36.465825 26.230661, 36.460267 26.227986, 36.460861 26.227494, 36.458501 26.224686, 36.45718 26.224436, 36.456048 26.22467, 36.45409 26.228233, 36.463251 26.232558, 36.463436 26.23227))"
منطقة الجوف,دومة الجندل,الوادي,194,"POLYGON ((39.883966 29.839064, 39.887481 29.837613, 39.889927 29.834655, 39.888914 29.832183, 39.879853 29.825226, 39.878372 29.825846, 39.878718 29.828326, 39.87865 29.829578, 39.879799 29.829898, 39.880009 29.830739, 39.880772 29.831908, 39.881124 29.835221, 39.878749 29.836171, 39.876978 29.837993, 39.875065 29.838685, 39.873489 29.839766, 39.872782 29.841239, 39.872416 29.843884, 39.883966 29.839064))"
منطقة الباحة,بلجرشي,الاحد,158,"POLYGON ((41.533139 19.679932, 41.533776 19.679462, 41.533942 19.6796, 41.534414 19.6791, 41.53469 19.678463, 41.534759 19.677773, 41.532339 19.677473, 41.532139 19.678901, 41.533139 19.679932))"
منطقة مكة المكرمة,مكة المكرمة,النزهة,53,"POLYGON ((39.58091 21.533855, 39.557519 21.519641, 39.54655 21.537692, 39.56994 21.551906, 39.58091 21.533855))"
