city,district,wealth_level,count,wkt
جدة,الشاطئ,Lower Middle,818,"POLYGON ((39.110825 21.663645, 39.111851 21.635872, 39.112134 21.632443, 39.1127 21.630395, 39.120453 21.608302, 39.120936 21.606251, 39.111289 21.603651, 39.110884 21.602341, 39.110109 21.601507, 39.109747 21.600854, 39.109447 21.59751, 39.105465 21.597967, 39.106155 21.600255, 39.106386 21.601455, 39.106181 21.601479, 39.106162 21.601643, 39.106395 21.601504, 39.106278 21.601967, 39.106398 21.601922, 39.106404 21.6028, 39.106258 21.603185, 39.106368 21.603364, 39.106251 21.605202, 39.106066 21.605603, 39.106201 21.605987, 39.10614 21.606927, 39.105236 21.615702, 39.105485 21.617057, 39.105317 21.617329, 39.105524 21.617401, 39.105368 21.618055, 39.1056 21.618449, 39.105109 21.619545, 39.104848 21.621328, 39.104916 21.622652, 39.104671 21.62301, 39.105095 21.623753, 39.104783 21.623983, 39.104673 21.624293, 39.103755 21.624308, 39.103825 21.624806, 39.103566 21.624953, 39.10354 21.625188, 39.103714 21.625398, 39.103632 21.626086, 39.103818 21.626514, 39.102511 21.628491, 39.101979 21.630452, 39.102124 21.631665, 39.102823 21.63267, 39.102935 21.633274, 39.102225 21.63361, 39.101992 21.634021, 39.102006 21.635, 39.102514 21.635659, 39.101597 21.637131, 39.101186 21.638214, 39.10091 21.641776, 39.100548 21.642561, 39.100438 21.643629, 39.100647 21.644852, 39.101544 21.646565, 39.10156 21.647792, 39.101786 21.648099, 39.101461 21.648778, 39.101207 21.64886, 39.100939 21.648542, 39.100667 21.648674, 39.100614 21.64853, 39.10043 21.648597, 39.100685 21.649236, 39.100882 21.649177, 39.100907 21.649337, 39.100414 21.649744, 39.099684 21.651331, 39.099284 21.651374, 39.099417 21.651573, 39.099063 21.653625, 39.098591 21.654771, 39.099162 21.655726, 39.098767 21.655404, 39.098396 21.655528, 39.09828 21.656, 39.098953 21.656368, 39.100276 21.659015, 39.09969 21.658925, 39.098369 21.656413, 39.09832 21.656639, 39.099466 21.659035, 39.099232 21.659144, 39.098127 21.65871, 39.097742 21.658515, 39.097731 21.658299, 39.0975 21.658153, 39.097008 21.658923, 39.096976 21.659151, 39.097207 21.659344, 39.096952 21.659411, 39.096896 21.659218, 39.096521 21.660085, 39.096819 21.659488, 39.097671 21.659594, 39.099329 21.660297, 39.099565 21.660526, 39.101817 21.661263, 39.102501 21.661941, 39.110775 21.664757, 39.110825 21.663645))"
جدة,الحمراء,Rich,812,"POLYGON ((39.176889 21.541397, 39.179427 21.529401, 39.164026 21.523188, 39.165429 21.519844, 39.166515 21.515658, 39.161392 21.513791, 39.160084 21.511632, 39.159695 21.511956, 39.159256 21.512057, 39.159015 21.512338, 39.159111 21.512131, 39.158938 21.51233, 39.158675 21.512165, 39.15839 21.512363, 39.157071 21.511499, 39.158077 21.510067, 39.158339 21.509944, 39.158478 21.509528, 39.158313 21.509422, 39.158114 21.50957, 39.157882 21.508846, 39.157461 21.508894, 39.156837 21.509282, 39.156688 21.509697, 39.156876 21.510143, 39.156678 21.510406, 39.155654 21.509995, 39.15519 21.510097, 39.155066 21.51042, 39.155288 21.510991, 39.155296 21.511568, 39.154106 21.513431, 39.153293 21.515534, 39.153283 21.516525, 39.152585 21.517815, 39.152608 21.518392, 39.152183 21.519022, 39.151304 21.5211, 39.15015 21.521889, 39.149695 21.52236, 39.149676 21.522661, 39.150151 21.523228, 39.150468 21.524329, 39.151068 21.525113, 39.151592 21.525517, 39.15166 21.525756, 39.152665 21.526444, 39.155583 21.528992, 39.156376 21.530176, 39.15798 21.530176, 39.156488 21.530407, 39.157083 21.531137, 39.157211 21.532199, 39.156437 21.533454, 39.156116 21.53373, 39.156137 21.533978, 39.156378 21.533962, 39.156229 21.534397, 39.157119 21.534968, 39.168462 21.539619, 39.16987 21.54037, 39.176802 21.541771, 39.176889 21.541397))"
الرياض,الملز,Lower Middle,434,"POLYGON ((46.746671 24.669923, 46.74843 24.665816, 46.754549 24.65414, 46.752707 24.653544, 46.740374 24.65297, 46.738783 24.652666, 46.73736 24.65195, 46.734175 24.649539, 46.733235 24.646903, 46.716153 24.651219, 46.717533 24.658049, 46.718211 24.667003, 46.727527 24.666434, 46.72806 24.666512, 46.729064 24.667076, 46.728169 24.66839, 46.727811 24.668646, 46.72774 24.66968, 46.728329 24.670491, 46.726463 24.678841, 46.739362 24.681116, 46.740882 24.681773, 46.742679 24.679684, 46.746671 24.669923))"
الرياض,السلي,Rich,418,"POLYGON ((46.857007 24.662522, 46.857393 24.654588, 46.899345 24.655549, 46.897793 24.653043, 46.896892 24.645858, 46.834971 24.616902, 46.806249 24.667867, 46.855677 24.691027, 46.856509 24.691215, 46.857105 24.664907, 46.857007 24.662522))"
الرياض,السلي,Middle,431,"POLYGON ((46.857007 24.662522, 46.857393 24.654588, 46.899345 24.655549, 46.897793 24.653043, 46.896892 24.645858, 46.834971 24.616902, 46.806249 24.667867, 46.855677 24.691027, 46.856509 24.691215, 46.857105 24.664907, 46.857007 24.662522))"
رفحاء,الطويريق,Upper Middle,3221,"POLYGON ((43.348272 29.728329, 43.346606 29.725807, 43.331473 29.7378, 43.33547 29.742178, 43.340895 29.73818, 43.340943 29.734421, 43.348272 29.728329))"
عرعر,حي النسيم,Lower Middle,2188,"POLYGON ((41.04319 30.957332, 41.042655 30.957553, 41.043851 30.959089, 41.058775 30.981537, 41.064528 30.978691, 41.04319 30.957332))"
الخرج,السلام,Upper Middle,748,"POLYGON ((47.307313 24.144584, 47.30542 24.143311, 47.304944 24.143225, 47.30465 24.143352, 47.302722 24.148605, 47.306986 24.152298, 47.309601 24.155153, 47.313276 24.157696, 47.318136 24.152703, 47.307313 24.144584))"
الوجه,حي المصيف,Middle,2159,"POLYGON ((36.45076 26.254818, 36.450119 26.255674, 36.450394 26.255783, 36.445429 26.262028, 36.447924 26.264067, 36.450168 26.262147, 36.453996 26.255955, 36.45076 26.254818))"
نجران,المطار,Rich,4384,"POLYGON ((44.419225 17.596697, 44.39274 17.582107, 44.383009 17.598502, 44.389104 17.601433, 44.453865 17.637348, 44.464092 17.621187, 44.436202 17.605739, 44.424605 17.599884, 44.419225 17.596697))"
الرياض,السلي,Lower Middle,404,"POLYGON ((46.857007 24.662522, 46.857393 24.654588, 46.899345 24.655549, 46.897793 24.653043, 46.896892 24.645858, 46.834971 24.616902, 46.806249 24.667867, 46.855677 24.691027, 46.856509 24.691215, 46.857105 24.664907, 46.857007 24.662522))"
سكاكا,الياسمين,Upper Middle,2135,"POLYGON ((40.190961 29.823944, 40.185382 29.823565, 40.184792 29.823756, 40.184469 29.824136, 40.183895 29.826446, 40.183391 29.827328, 40.182825 29.827915, 40.180187 29.829571, 40.178779 29.830754, 40.17752 29.832327, 40.176285 29.834639, 40.179882 29.83622, 40.182515 29.837765, 40.19123 29.845094, 40.205866 29.832915, 40.193265 29.824172, 40.190961 29.823944))"
الخرج,السلام,Middle,808,"POLYGON ((47.307313 24.144584, 47.30542 24.143311, 47.304944 24.143225, 47.30465 24.143352, 47.302722 24.148605, 47.306986 24.152298, 47.309601 24.155153, 47.313276 24.157696, 47.318136 24.152703, 47.307313 24.144584))"
رفحاء,حى الفيصلية,Lower Middle,3287,"POLYGON ((43.497854 29.635997, 43.501791 29.634569, 43.499158 29.629242, 43.496216 29.630376, 43.494272 29.631774, 43.494035 29.632248, 43.49411 29.632668, 43.496099 29.636663, 43.497854 29.635997))"
سكاكا,الياسمين,Lower Middle,2155,"POLYGON ((40.190961 29.823944, 40.185382 29.823565, 40.184792 29.823756, 40.184469 29.824136, 40.183895 29.826446, 40.183391 29.827328, 40.182825 29.827915, 40.180187 29.829571, 40.178779 29.830754, 40.17752 29.832327, 40.176285 29.834639, 40.179882 29.83622, 40.182515 29.837765, 40.19123 29.845094, 40.205866 29.832915, 40.193265 29.824172, 40.190961 29.823944))"
عرعر,حي النسيم,Middle,2091,"POLYGON ((41.04319 30.957332, 41.042655 30.957553, 41.043851 30.959089, 41.058775 30.981537, 41.064528 30.978691, 41.04319 30.957332))"
نجران,المطار,Middle,4285,"POLYGON ((44.419225 17.596697, 44.39274 17.582107, 44.383009 17.598502, 44.389104 17.601433, 44.453865 17.637348, 44.464092 17.621187, 44.436202 17.605739, 44.424605 17.599884, 44.419225 17.596697))"
رفحاء,الطويريق,Poor,3285,"POLYGON ((43.348272 29.728329, 43.346606 29.725807, 43.331473 29.7378, 43.33547 29.742178, 43.340895 29.73818, 43.340943 29.734421, 43.348272 29.728329))"
رفحاء,حى الفيصلية,Upper Middle,3310,"POLYGON ((43.497854 29.635997, 43.501791 29.634569, 43.499158 29.629242, 43.496216 29.630376, 43.494272 29.631774, 43.494035 29.632248, 43.49411 29.632668, 43.496099 29.636663, 43.497854 29.635997))"
مكة المكرمة,حي العوالي,Lower Middle,1049,"POLYGON ((39.99469 21.300053, 39.995195 21.299822, 39.996243 21.300433, 39.997231 21.301272, 39.998297 21.301819, 40.000746 21.302515, 40.001092 21.302521, 40.001379 21.30225, 40.001165 21.301918, 40.001952 21.300882, 40.002555 21.300982, 40.003026 21.30081, 40.003093 21.300339, 40.002418 21.300042, 40.002585 21.299438, 40.001634 21.298986, 40.00063 21.298773, 40.000535 21.298261, 39.999888 21.298474, 39.999036 21.298365, 39.998343 21.297837, 39.998329 21.296734, 39.998628 21.296394, 39.999325 21.296198, 39.999613 21.295033, 39.999159 21.294119, 39.998102 21.293698, 39.996372 21.294003, 39.99524 21.294893, 39.995479 21.295165, 39.992694 21.296811, 39.990649 21.296706, 39.990118 21.296435, 39.989782 21.296098, 39.990109 21.29504, 39.991086 21.293523, 39.991222 21.292247, 39.991731 21.29101, 39.99157 21.289785, 39.991859 21.289071, 39.990526 21.288168, 39.990213 21.289633, 39.989461 21.289726, 39.988881 21.290225, 39.98774 21.290231, 39.987619 21.290819, 39.987364 21.291102, 39.987462 21.292118, 39.986844 21.292159, 39.986719 21.293157, 39.986496 21.293149, 39.986467 21.293396, 39.985482 21.293183, 39.985227 21.294458, 39.985574 21.294759, 39.985318 21.295948, 39.984893 21.295989, 39.984267 21.296325, 39.983153 21.296474, 39.983342 21.297375, 39.983083 21.298089, 39.982554 21.298193, 39.981818 21.297864, 39.981418 21.297477, 39.981015 21.297505, 39.98067 21.297898, 39.980761 21.298993, 39.981593 21.299588, 39.981617 21.300073, 39.980463 21.300402, 39.979889 21.302589, 39.985753 21.305639, 39.987843 21.307206, 39.9897 21.304005, 39.990314 21.303393, 39.991447 21.30314, 39.99469 21.300053))"
مكة المكرمة,حي العوالي,Lower Middle,1049,"POLYGON ((39.954007 21.31323, 39.953814 21.31262, 39.953145 21.312704, 39.953056 21.312487, 39.953223 21.312269, 39.952694 21.311661, 39.952923 21.311443, 39.95257 21.310812, 39.953084 21.310251, 39.953485 21.310485, 39.953778 21.310404, 39.953555 21.310049, 39.953858 21.309655, 39.953561 21.309263, 39.953706 21.309006, 39.954459 21.308677, 39.954478 21.308285, 39.954946 21.307952, 39.954883 21.307872, 39.956101 21.307326, 39.955359 21.306268, 39.955144 21.306234, 39.955295 21.306161, 39.953084 21.302566, 39.951869 21.303286, 39.951525 21.303165, 39.951903 21.302374, 39.952262 21.300606, 39.95081 21.300021, 39.95098 21.299277, 39.950637 21.298465, 39.950562 21.297736, 39.950033 21.296985, 39.949636 21.296955, 39.949559 21.296715, 39.949724 21.296385, 39.948724 21.29597, 39.948932 21.294917, 39.94809 21.29485, 39.947894 21.294624, 39.948004 21.294259, 39.947557 21.29411, 39.947663 21.293986, 39.947305 21.293309, 39.946693 21.293066, 39.946389 21.292408, 39.94612 21.292624, 39.945787 21.292447, 39.945668 21.292046, 39.946065 21.291802, 39.945665 21.291258, 39.945704 21.29096, 39.945978 21.290965, 39.945969 21.290738, 39.947268 21.290419, 39.947057 21.290251, 39.947641 21.288778, 39.94583 21.288387, 39.945743 21.287523, 39.946226 21.287288, 39.945628 21.286751, 39.945599 21.286471, 39.945639 21.286275, 39.946136 21.286713, 39.946169 21.286389, 39.946008 21.286234, 39.946317 21.286294, 39.946364 21.286143, 39.945968 21.285809, 39.946554 21.284477, 39.945005 21.283514, 39.943366 21.282135, 39.941418 21.279729, 39.940549 21.278108, 39.93752 21.270472, 39.936797 21.269168, 39.935337 21.267111, 39.933155 21.271712, 39.92713 21.281772, 39.924829 21.2853, 39.924013 21.286308, 39.922925 21.287231, 39.921414 21.287932, 39.919661 21.288301, 39.917417 21.288246, 39.915866 21.288445, 39.913827 21.289295, 39.912631 21.290241, 39.911935 21.291063, 39.91052 21.293427, 39.909527 21.294633, 39.903116 21.29955, 39.897998 21.304411, 39.895659 21.307754, 39.890578 21.314464, 39.886085 21.321808, 39.883927 21.324993, 39.879925 21.329581, 39.875936 21.333059, 39.872459 21.335473, 39.868314 21.337751, 39.861865 21.340594, 39.85965 21.342115, 39.857531 21.344339, 39.850613 21.353736, 39.860505 21.357461, 39.882096 21.360883, 39.883723 21.360911, 39.896823 21.362771, 39.917483 21.358371, 39.922571 21.357045, 39.925331 21.355752, 39.927621 21.354107, 39.939999 21.341137, 39.941323 21.33992, 39.943113 21.338684, 39.946904 21.336511, 39.962217 21.328879, 39.964341 21.327911, 39.967453 21.327032, 39.966063 21.324787, 39.965366 21.323926, 39.964767 21.323462, 39.960915 21.322133, 39.960101 21.321165, 39.959576 21.320178, 39.959454 21.3194, 39.956035 21.314774, 39.955256 21.314543, 39.955085 21.31411, 39.954344 21.313346, 39.954007 21.31323))"
رفحاء,حى الفيصلية,Middle,3244,"POLYGON ((43.497854 29.635997, 43.501791 29.634569, 43.499158 29.629242, 43.496216 29.630376, 43.494272 29.631774, 43.494035 29.632248, 43.49411 29.632668, 43.496099 29.636663, 43.497854 29.635997))"
مكة المكرمة,حي العوالي,Upper Middle,1025,"POLYGON ((39.99469 21.300053, 39.995195 21.299822, 39.996243 21.300433, 39.997231 21.301272, 39.998297 21.301819, 40.000746 21.302515, 40.001092 21.302521, 40.001379 21.30225, 40.001165 21.301918, 40.001952 21.300882, 40.002555 21.300982, 40.003026 21.30081, 40.003093 21.300339, 40.002418 21.300042, 40.002585 21.299438, 40.001634 21.298986, 40.00063 21.298773, 40.000535 21.298261, 39.999888 21.298474, 39.999036 21.298365, 39.998343 21.297837, 39.998329 21.296734, 39.998628 21.296394, 39.999325 21.296198, 39.999613 21.295033, 39.999159 21.294119, 39.998102 21.293698, 39.996372 21.294003, 39.99524 21.294893, 39.995479 21.295165, 39.992694 21.296811, 39.990649 21.296706, 39.990118 21.296435, 39.989782 21.296098, 39.990109 21.29504, 39.991086 21.293523, 39.991222 21.292247, 39.991731 21.29101, 39.99157 21.289785, 39.991859 21.289071, 39.990526 21.288168, 39.990213 21.289633, 39.989461 21.289726, 39.988881 21.290225, 39.98774 21.290231, 39.987619 21.290819, 39.987364 21.291102, 39.987462 21.292118, 39.986844 21.292159, 39.986719 21.293157, 39.986496 21.293149, 39.986467 21.293396, 39.985482 21.293183, 39.985227 21.294458, 39.985574 21.294759, 39.985318 21.295948, 39.984893 21.295989, 39.984267 21.296325, 39.983153 21.296474, 39.983342 21.297375, 39.983083 21.298089, 39.982554 21.298193, 39.981818 21.297864, 39.981418 21.297477, 39.981015 21.297505, 39.98067 21.297898, 39.980761 21.298993, 39.981593 21.299588, 39.981617 21.300073, 39.980463 21.300402, 39.979889 21.302589, 39.985753 21.305639, 39.987843 21.307206, 39.9897 21.304005, 39.990314 21.303393, 39.991447 21.30314, 39.99469 21.300053))"
مكة المكرمة,حي العوالي,Upper Middle,1025,"POLYGON ((39.954007 21.31323, 39.953814 21.31262, 39.953145 21.312704, 39.953056 21.312487, 39.953223 21.312269, 39.952694 21.311661, 39.952923 21.311443, 39.95257 21.310812, 39.953084 21.310251, 39.953485 21.310485, 39.953778 21.310404, 39.953555 21.310049, 39.953858 21.309655, 39.953561 21.309263, 39.953706 21.309006, 39.954459 21.308677, 39.954478 21.308285, 39.954946 21.307952, 39.954883 21.307872, 39.956101 21.307326, 39.955359 21.306268, 39.955144 21.306234, 39.955295 21.306161, 39.953084 21.302566, 39.951869 21.303286, 39.951525 21.303165, 39.951903 21.302374, 39.952262 21.300606, 39.95081 21.300021, 39.95098 21.299277, 39.950637 21.298465, 39.950562 21.297736, 39.950033 21.296985, 39.949636 21.296955, 39.949559 21.296715, 39.949724 21.296385, 39.948724 21.29597, 39.948932 21.294917, 39.94809 21.29485, 39.947894 21.294624, 39.948004 21.294259, 39.947557 21.29411, 39.947663 21.293986, 39.947305 21.293309, 39.946693 21.293066, 39.946389 21.292408, 39.94612 21.292624, 39.945787 21.292447, 39.945668 21.292046, 39.946065 21.291802, 39.945665 21.291258, 39.945704 21.29096, 39.945978 21.290965, 39.945969 21.290738, 39.947268 21.290419, 39.947057 21.290251, 39.947641 21.288778, 39.94583 21.288387, 39.945743 21.287523, 39.946226 21.287288, 39.945628 21.286751, 39.945599 21.286471, 39.945639 21.286275, 39.946136 21.286713, 39.946169 21.286389, 39.946008 21.286234, 39.946317 21.286294, 39.946364 21.286143, 39.945968 21.285809, 39.946554 21.284477, 39.945005 21.283514, 39.943366 21.282135, 39.941418 21.279729, 39.940549 21.278108, 39.93752 21.270472, 39.936797 21.269168, 39.935337 21.267111, 39.933155 21.271712, 39.92713 21.281772, 39.924829 21.2853, 39.924013 21.286308, 39.922925 21.287231, 39.921414 21.287932, 39.919661 21.288301, 39.917417 21.288246, 39.915866 21.288445, 39.913827 21.289295, 39.912631 21.290241, 39.911935 21.291063, 39.91052 21.293427, 39.909527 21.294633, 39.903116 21.29955, 39.897998 21.304411, 39.895659 21.307754, 39.890578 21.314464, 39.886085 21.321808, 39.883927 21.324993, 39.879925 21.329581, 39.875936 21.333059, 39.872459 21.335473, 39.868314 21.337751, 39.861865 21.340594, 39.85965 21.342115, 39.857531 21.344339, 39.850613 21.353736, 39.860505 21.357461, 39.882096 21.360883, 39.883723 21.360911, 39.896823 21.362771, 39.917483 21.358371, 39.922571 21.357045, 39.925331 21.355752, 39.927621 21.354107, 39.939999 21.341137, 39.941323 21.33992, 39.943113 21.338684, 39.946904 21.336511, 39.962217 21.328879, 39.964341 21.327911, 39.967453 21.327032, 39.966063 21.324787, 39.965366 21.323926, 39.964767 21.323462, 39.960915 21.322133, 39.960101 21.321165, 39.959576 21.320178, 39.959454 21.3194, 39.956035 21.314774, 39.955256 21.314543, 39.955085 21.31411, 39.954344 21.313346, 39.954007 21.31323))"
مكة المكرمة,حي العوالي,Middle,1010,"POLYGON ((39.99469 21.300053, 39.995195 21.299822, 39.996243 21.300433, 39.997231 21.301272, 39.998297 21.301819, 40.000746 21.302515, 40.001092 21.302521, 40.001379 21.30225, 40.001165 21.301918, 40.001952 21.300882, 40.002555 21.300982, 40.003026 21.30081, 40.003093 21.300339, 40.002418 21.300042, 40.002585 21.299438, 40.001634 21.298986, 40.00063 21.298773, 40.000535 21.298261, 39.999888 21.298474, 39.999036 21.298365, 39.998343 21.297837, 39.998329 21.296734, 39.998628 21.296394, 39.999325 21.296198, 39.999613 21.295033, 39.999159 21.294119, 39.998102 21.293698, 39.996372 21.294003, 39.99524 21.294893, 39.995479 21.295165, 39.992694 21.296811, 39.990649 21.296706, 39.990118 21.296435, 39.989782 21.296098, 39.990109 21.29504, 39.991086 21.293523, 39.991222 21.292247, 39.991731 21.29101, 39.99157 21.289785, 39.991859 21.289071, 39.990526 21.288168, 39.990213 21.289633, 39.989461 21.289726, 39.988881 21.290225, 39.98774 21.290231, 39.987619 21.290819, 39.987364 21.291102, 39.987462 21.292118, 39.986844 21.292159, 39.986719 21.293157, 39.986496 21.293149, 39.986467 21.293396, 39.985482 21.293183, 39.985227 21.294458, 39.985574 21.294759, 39.985318 21.295948, 39.984893 21.295989, 39.984267 21.296325, 39.983153 21.296474, 39.983342 21.297375, 39.983083 21.298089, 39.982554 21.298193, 39.981818 21.297864, 39.981418 21.297477, 39.981015 21.297505, 39.98067 21.297898, 39.980761 21.298993, 39.981593 21.299588, 39.981617 21.300073, 39.980463 21.300402, 39.979889 21.302589, 39.985753 21.305639, 39.987843 21.307206, 39.9897 21.304005, 39.990314 21.303393, 39.991447 21.30314, 39.99469 21.300053))"
مكة المكرمة,حي العوالي,Middle,1010,"POLYGON ((39.954007 21.31323, 39.953814 21.31262, 39.953145 21.312704, 39.953056 21.312487, 39.953223 21.312269, 39.952694 21.311661, 39.952923 21.311443, 39.95257 21.310812, 39.953084 21.310251, 39.953485 21.310485, 39.953778 21.310404, 39.953555 21.310049, 39.953858 21.309655, 39.953561 21.309263, 39.953706 21.309006, 39.954459 21.308677, 39.954478 21.308285, 39.954946 21.307952, 39.954883 21.307872, 39.956101 21.307326, 39.955359 21.306268, 39.955144 21.306234, 39.955295 21.306161, 39.953084 21.302566, 39.951869 21.303286, 39.951525 21.303165, 39.951903 21.302374, 39.952262 21.300606, 39.95081 21.300021, 39.95098 21.299277, 39.950637 21.298465, 39.950562 21.297736, 39.950033 21.296985, 39.949636 21.296955, 39.949559 21.296715, 39.949724 21.296385, 39.948724 21.29597, 39.948932 21.294917, 39.94809 21.29485, 39.947894 21.294624, 39.948004 21.294259, 39.947557 21.29411, 39.947663 21.293986, 39.947305 21.293309, 39.946693 21.293066, 39.946389 21.292408, 39.94612 21.292624, 39.945787 21.292447, 39.945668 21.292046, 39.946065 21.291802, 39.945665 21.291258, 39.945704 21.29096, 39.945978 21.290965, 39.945969 21.290738, 39.947268 21.290419, 39.947057 21.290251, 39.947641 21.288778, 39.94583 21.288387, 39.945743 21.287523, 39.946226 21.287288, 39.945628 21.286751, 39.945599 21.286471, 39.945639 21.286275, 39.946136 21.286713, 39.946169 21.286389, 39.946008 21.286234, 39.946317 21.286294, 39.946364 21.286143, 39.945968 21.285809, 39.946554 21.284477, 39.945005 21.283514, 39.943366 21.282135, 39.941418 21.279729, 39.940549 21.278108, 39.93752 21.270472, 39.936797 21.269168, 39.935337 21.267111, 39.933155 21.271712, 39.92713 21.281772, 39.924829 21.2853, 39.924013 21.286308, 39.922925 21.287231, 39.921414 21.287932, 39.919661 21.288301, 39.917417 21.288246, 39.915866 21.288445, 39.913827 21.289295, 39.912631 21.290241, 39.911935 21.291063, 39.91052 21.293427, 39.909527 21.294633, 39.903116 21.29955, 39.897998 21.304411, 39.895659 21.307754, 39.890578 21.314464, 39.886085 21.321808, 39.883927 21.324993, 39.879925 21.329581, 39.875936 21.333059, 39.872459 21.335473, 39.868314 21.337751, 39.861865 21.340594, 39.85965 21.342115, 39.857531 21.344339, 39.850613 21.353736, 39.860505 21.357461, 39.882096 21.360883, 39.883723 21.360911, 39.896823 21.362771, 39.917483 21.358371, 39.922571 21.357045, 39.925331 21.355752, 39.927621 21.354107, 39.939999 21.341137, 39.941323 21.33992, 39.943113 21.338684, 39.946904 21.336511, 39.962217 21.328879, 39.964341 21.327911, 39.967453 21.327032, 39.966063 21.324787, 39.965366 21.323926, 39.964767 21.323462, 39.960915 21.322133, 39.960101 21.321165, 39.959576 21.320178, 39.959454 21.3194, 39.956035 21.314774, 39.955256 21.314543, 39.955085 21.31411, 39.954344 21.313346, 39.954007 21.31323))"
نجران,المطار,Lower Middle,4379,"POLYGON ((44.419225 17.596697, 44.39274 17.582107, 44.383009 17.598502, 44.389104 17.601433, 44.453865 17.637348, 44.464092 17.621187, 44.436202 17.605739, 44.424605 17.599884, 44.419225 17.596697))"
عرعر,حي النسيم,Upper Middle,2186,"POLYGON ((41.04319 30.957332, 41.042655 30.957553, 41.043851 30.959089, 41.058775 30.981537, 41.064528 30.978691, 41.04319 30.957332))"
مكة المكرمة,حي العوالي,Poor,1140,"POLYGON ((39.99469 21.300053, 39.995195 21.299822, 39.996243 21.300433, 39.997231 21.301272, 39.998297 21.301819, 40.000746 21.302515, 40.001092 21.302521, 40.001379 21.30225, 40.001165 21.301918, 40.001952 21.300882, 40.002555 21.300982, 40.003026 21.30081, 40.003093 21.300339, 40.002418 21.300042, 40.002585 21.299438, 40.001634 21.298986, 40.00063 21.298773, 40.000535 21.298261, 39.999888 21.298474, 39.999036 21.298365, 39.998343 21.297837, 39.998329 21.296734, 39.998628 21.296394, 39.999325 21.296198, 39.999613 21.295033, 39.999159 21.294119, 39.998102 21.293698, 39.996372 21.294003, 39.99524 21.294893, 39.995479 21.295165, 39.992694 21.296811, 39.990649 21.296706, 39.990118 21.296435, 39.989782 21.296098, 39.990109 21.29504, 39.991086 21.293523, 39.991222 21.292247, 39.991731 21.29101, 39.99157 21.289785, 39.991859 21.289071, 39.990526 21.288168, 39.990213 21.289633, 39.989461 21.289726, 39.988881 21.290225, 39.98774 21.290231, 39.987619 21.290819, 39.987364 21.291102, 39.987462 21.292118, 39.986844 21.292159, 39.986719 21.293157, 39.986496 21.293149, 39.986467 21.293396, 39.985482 21.293183, 39.985227 21.294458, 39.985574 21.294759, 39.985318 21.295948, 39.984893 21.295989, 39.984267 21.296325, 39.983153 21.296474, 39.983342 21.297375, 39.983083 21.298089, 39.982554 21.298193, 39.981818 21.297864, 39.981418 21.297477, 39.981015 21.297505, 39.98067 21.297898, 39.980761 21.298993, 39.981593 21.299588, 39.981617 21.300073, 39.980463 21.300402, 39.979889 21.302589, 39.985753 21.305639, 39.987843 21.307206, 39.9897 21.304005, 39.990314 21.303393, 39.991447 21.30314, 39.99469 21.300053))"
