death_year,age_range,gender,nationality,marital_status_group,death_count
2011,0-10,M,صيني,Married,26
2017,0-10,F,اردني,Single,26
2012,0-10,F,عماني,Divorced,26
2017,0-10,M,بحريني,Divorced,26
2017,11-20,F,كويتي,Divorced,26
2017,0-10,F,ليبي,Single,26
2009,21-40,M,ألماني,Married,26
2012,0-10,F,تونسي,Divorced,26
2015,21-40,M,كويتي,Married,26
2010,0-10,M,قطري,Married,26
2010,0-10,F,فرنسي,Divorced,26
2011,21-40,M,هندي,Married,26
2009,0-10,F,مصري,Divorced,26
2011,0-10,M,تونسي,Married,26
2012,0-10,M,لبناني,Married,26
2012,21-40,M,عماني,Married,26
2012,0-10,F,عراقي,Divorced,26
2011,0-10,M,هندي,Married,26
2013,21-40,F,بحريني,Divorced,26
2010,0-10,M,تركي,Divorced,26
2015,11-20,M,بريطاني,Married,26
2011,21-40,F,كويتي,Divorced,26
2013,21-40,M,اردني,Married,26
2010,21-40,F,ليبي,Divorced,26
2017,21-40,M,اماراتي,Married,26
2012,21-40,M,ألماني,Married,26
2012,11-20,M,امريكي,Married,26
2011,0-10,F,عماني,Divorced,26
2012,21-40,M,مصري,Married,26
2014,11-20,M,تونسي,Married,26
2009,21-40,F,إسباني,Divorced,26
2012,21-40,F,عماني,Divorced,26
2012,11-20,M,اردني,Married,26
2014,21-40,F,لبناني,Divorced,26
2017,0-10,F,سوداني,Single,26
2009,0-10,M,باكستاني,Married,26
2013,0-10,F,صيني,Divorced,26
2011,11-20,M,سوري,Married,26
2015,0-10,M,بحريني,Married,26
2011,0-10,M,عماني,Married,26
2017,21-40,M,إسباني,Married,26
2009,0-10,F,عماني,Divorced,26
2014,0-10,F,تونسي,Divorced,26
2016,0-10,F,ياباني,Single,26
2012,21-40,M,تركي,Married,26
2013,21-40,M,قطري,Married,26
2009,0-10,M,ليبي,Married,26
2013,21-40,M,إيطالي,Married,26
2011,21-40,M,كويتي,Married,26
2017,0-10,F,قطري,Married,26
2012,21-40,M,اماراتي,Married,26
2016,0-10,M,سوداني,Divorced,26
2016,21-40,F,عراقي,Divorced,26
2015,21-40,M,تركي,Married,26
2014,0-10,F,ألماني,Divorced,26
2011,21-40,M,بحريني,Married,26
2016,11-20,M,فرنسي,Married,26
2015,21-40,F,بحريني,Divorced,26
2017,0-10,M,مصري,Married,26
2015,0-10,F,ألماني,Divorced,26
2016,21-40,F,إسباني,Divorced,26
2014,21-40,M,بحريني,Married,26
2016,41-60,M,اماراتي,Married,26
2012,21-40,M,ياباني,Married,26
2011,0-10,F,تونسي,Divorced,26
2012,0-10,M,تونسي,Married,26
2017,21-40,F,بريطاني,Divorced,26
2011,0-10,F,هندي,Divorced,26
2010,21-40,M,مصري,Married,26
2010,0-10,M,تونسي,Married,26
2017,41-60,M,باكستاني,Married,26
2013,21-40,F,صيني,Divorced,26
2012,21-40,F,ياباني,Divorced,26
2017,0-10,M,عماني,Divorced,26
2017,21-40,M,بريطاني,Married,26
2014,0-10,M,بريطاني,Divorced,26
2010,21-40,M,كويتي,Married,26
2014,21-40,F,سوداني,Divorced,26
2013,21-40,M,لبناني,Married,26
2013,0-10,F,تركي,Divorced,26
2012,0-10,M,صيني,Married,26
2011,21-40,F,عماني,Divorced,26
2013,21-40,F,سوداني,Divorced,25
2012,41-60,M,بريطاني,Married,25
2015,21-40,M,ألماني,Married,25
2013,21-40,M,ليبي,Married,25
2013,0-10,F,عراقي,Divorced,25
2009,21-40,F,بريطاني,Divorced,25
2010,21-40,F,صيني,Divorced,25
2012,21-40,M,باكستاني,Married,25
2016,21-40,F,سوري,Divorced,25
2012,21-40,M,بريطاني,Married,25
2011,21-40,F,سوداني,Divorced,25
2009,0-10,M,ألماني,Married,25
2009,0-10,F,عراقي,Divorced,25
2009,11-20,M,فرنسي,Married,25
2014,21-40,F,اماراتي,Divorced,25
2016,21-40,M,إسباني,Married,25
2015,21-40,F,سوداني,Divorced,25
2009,21-40,F,سوداني,Divorced,25
2017,21-40,M,اردني,Married,25
2011,0-10,M,امريكي,Married,25
2013,11-20,F,امريكي,Divorced,25
2013,0-10,F,ياباني,Divorced,25
2013,11-20,M,ألماني,Married,25
2015,21-40,F,إيطالي,Divorced,25
2016,0-10,M,قطري,Divorced,25
2013,0-10,M,امريكي,Married,25
2015,0-10,F,عماني,Married,25
2017,21-40,M,ليبي,Married,25
2017,21-40,F,عماني,Divorced,25
2016,0-10,M,امريكي,Married,25
2009,0-10,F,إسباني,Divorced,25
2016,0-10,M,اردني,Married,25
2011,0-10,F,إسباني,Divorced,25
2009,0-10,F,فرنسي,Divorced,25
2012,0-10,M,تركي,Married,25
2011,0-10,F,ياباني,Divorced,25
2013,11-20,M,صيني,Married,25
2015,21-40,M,فرنسي,Married,25
2010,21-40,F,باكستاني,Divorced,25
2012,21-40,M,لبناني,Married,25
2011,11-20,M,امريكي,Married,25
2015,21-40,F,سوري,Divorced,25
2013,11-20,M,بحريني,Married,25
2017,11-20,F,سوري,Divorced,25
2015,21-40,F,بحريني,Married,25
2016,0-10,M,امريكي,Divorced,25
2011,0-10,M,عراقي,Married,25
2016,21-40,M,امريكي,Married,25
2010,0-10,M,لبناني,Married,25
2013,0-10,F,سوري,Divorced,25
2016,21-40,M,عماني,Married,25
2012,21-40,F,هندي,Divorced,25
2016,0-10,F,سوري,Divorced,25
2017,21-40,M,بحريني,Married,25
2016,21-40,F,ياباني,Divorced,25
2015,0-10,F,باكستاني,Married,25
2016,21-40,M,ليبي,Married,25
2012,21-40,M,تونسي,Married,25
2010,21-40,F,تركي,Divorced,25
2014,21-40,F,بريطاني,Divorced,25
2014,21-40,F,هندي,Divorced,25
2013,0-10,F,إسباني,Single,25
2015,41-60,M,لبناني,Divorced,25
2014,21-40,M,مصري,Divorced,25
2010,0-10,M,مصري,Married,25
2015,11-20,M,اردني,Married,25
2014,21-40,F,ياباني,Divorced,25
2016,0-10,M,فرنسي,Divorced,25
2014,0-10,F,عماني,Divorced,25
2013,0-10,M,فرنسي,Married,25
2010,11-20,M,اردني,Married,25
2013,0-10,M,قطري,Married,25
2017,21-40,M,ليبي,Divorced,25
2011,21-40,F,عراقي,Divorced,25
2016,21-40,M,فرنسي,Married,25
2015,21-40,M,اردني,Married,25
2010,0-10,M,باكستاني,Married,25
2015,21-40,F,مصري,Married,25
2011,21-40,F,هندي,Divorced,25
2016,21-40,F,سوداني,Divorced,25
2017,11-20,M,سوري,Married,25
2015,11-20,F,سوري,Divorced,25
2015,21-40,M,تونسي,Married,25
2014,21-40,M,مصري,Married,25
2015,0-10,F,كويتي,Divorced,25
2016,0-10,M,سوري,Divorced,25
2017,21-40,F,كويتي,Divorced,25
2013,21-40,M,فرنسي,Married,25
2012,0-10,M,امريكي,Married,25
2011,0-10,F,بريطاني,Divorced,24
2009,21-40,M,إيطالي,Married,24
2016,0-10,M,تونسي,Divorced,24
2013,21-40,F,لبناني,Divorced,24
2011,11-20,M,اماراتي,Married,24
2012,11-20,M,تركي,Married,24
2010,11-20,M,إسباني,Married,24
2009,0-10,F,ياباني,Divorced,24
2011,41-60,F,إيطالي,Divorced,24
2012,0-10,M,اماراتي,Divorced,24
2016,21-40,F,إيطالي,Divorced,24
2015,21-40,M,عراقي,Married,24
2015,11-20,F,مصري,Divorced,24
2017,11-20,M,إسباني,Married,24
2010,11-20,F,مصري,Divorced,24
2017,21-40,M,تركي,Married,24
2016,0-10,F,تركي,Divorced,24
2015,0-10,M,صيني,Divorced,24
2017,11-20,F,ليبي,Divorced,24
2012,21-40,F,لبناني,Divorced,24
2012,0-10,M,باكستاني,Married,24
2013,21-40,M,سوداني,Divorced,24
2012,21-40,M,فرنسي,Divorced,24
2014,11-20,F,اماراتي,Divorced,24
2015,11-20,M,ألماني,Married,24
2010,21-40,F,سوداني,Divorced,24
2016,0-10,M,لبناني,Divorced,24
2017,11-20,F,ألماني,Divorced,24
2015,11-20,F,إيطالي,Divorced,24
2016,0-10,M,إسباني,Divorced,24
2014,21-40,M,هندي,Divorced,24
2013,0-10,M,سوري,Divorced,24
2016,41-60,M,تركي,Married,24
2017,21-40,F,هندي,Divorced,24
2016,21-40,M,قطري,Divorced,24
2016,41-60,F,تونسي,Divorced,24
2011,0-10,M,ليبي,Married,24
2013,11-20,M,اردني,Married,24
2016,21-40,F,تونسي,Divorced,24
2016,11-20,F,باكستاني,Divorced,24
2015,21-40,M,ياباني,Married,24
2011,21-40,M,سوري,Divorced,24
2014,0-10,M,تركي,Divorced,24
2011,0-10,F,امريكي,Divorced,24
2013,11-20,F,ألماني,Divorced,24
2017,11-20,F,اردني,Divorced,24
2017,11-20,F,مصري,Divorced,24
2013,41-60,M,سوداني,Married,24
2017,21-40,F,صيني,Divorced,24
2016,21-40,F,تركي,Divorced,24
2013,11-20,M,إيطالي,Married,24
2013,41-60,M,اردني,Married,24
2010,21-40,M,ليبي,Married,24
2013,0-10,M,كويتي,Divorced,24
2012,0-10,M,بحريني,Married,24
2010,0-10,M,عراقي,Married,24
2010,0-10,M,اماراتي,Married,24
2014,11-20,M,تركي,Married,24
2014,11-20,M,سوري,Married,24
2014,11-20,M,اماراتي,Married,24
2017,11-20,M,ياباني,Married,24
2017,0-10,F,لبناني,Single,24
2011,0-10,F,مصري,Divorced,24
2017,21-40,F,باكستاني,Divorced,24
2014,11-20,M,اردني,Married,24
2017,41-60,F,مصري,Divorced,24
2010,21-40,F,كويتي,Divorced,24
2013,0-10,F,سوداني,Divorced,24
2015,41-60,M,كويتي,Divorced,24
2017,0-10,M,ياباني,Divorced,24
2011,11-20,M,ليبي,Married,24
2017,0-10,M,صيني,Divorced,24
2017,11-20,M,ليبي,Married,24
2009,21-40,M,اردني,Divorced,24
2011,11-20,M,عراقي,Married,24
2013,0-10,M,ياباني,Divorced,24
2015,21-40,F,كويتي,Divorced,24
2017,0-10,M,باكستاني,Divorced,24
2012,0-10,F,باكستاني,Divorced,24
2016,21-40,M,قطري,Married,24
2009,21-40,F,عراقي,Divorced,24
2016,21-40,M,بريطاني,Married,24
2011,0-10,M,اماراتي,Married,24
2011,21-40,F,بحريني,Divorced,24
2016,11-20,F,فرنسي,Divorced,24
2015,11-20,M,باكستاني,Married,24
2017,0-10,M,بريطاني,Divorced,24
2009,21-40,F,لبناني,Divorced,24
2015,0-10,M,كويتي,Divorced,24
2009,21-40,F,باكستاني,Divorced,24
2017,21-40,M,مصري,Married,24
2017,21-40,F,سوداني,Divorced,24
2014,0-10,M,إيطالي,Married,24
2012,0-10,M,اردني,Married,24
2009,0-10,M,بحريني,Married,24
2017,11-20,F,اماراتي,Divorced,24
2014,21-40,M,إسباني,Married,24
2011,0-10,M,إسباني,Married,24
2013,11-20,M,ياباني,Married,24
2012,0-10,F,كويتي,Divorced,24
2016,41-60,F,قطري,Divorced,24
2015,41-60,M,تركي,Married,24
2017,0-10,F,سوري,Single,24
2016,11-20,M,امريكي,Married,24
2015,21-40,M,بحريني,Married,24
2011,0-10,F,فرنسي,Divorced,24
2010,0-10,M,هندي,Married,23
2014,21-40,M,بريطاني,Married,23
2011,21-40,F,إسباني,Divorced,23
2017,0-10,M,ليبي,Divorced,23
2009,21-40,F,تونسي,Divorced,23
2016,21-40,M,سوري,Married,23
2016,41-60,M,كويتي,Married,23
2014,0-10,M,اماراتي,Divorced,23
2010,0-10,F,بحريني,Divorced,23
2010,11-20,F,سوري,Divorced,23
2014,11-20,M,إيطالي,Married,23
2015,0-10,F,سوداني,Single,23
2016,11-20,F,كويتي,Divorced,23
2017,41-60,F,ياباني,Divorced,23
2015,0-10,M,سوداني,Divorced,23
2010,41-60,M,كويتي,Married,23
2012,21-40,M,عراقي,Married,23
2010,41-60,F,مصري,Divorced,23
2014,21-40,M,عراقي,Married,23
2009,0-10,F,كويتي,Divorced,23
2015,21-40,M,صيني,Married,23
2009,61+,F,سعودي,Married,23
2017,0-10,M,تونسي,Divorced,23
2011,21-40,M,لبناني,Married,23
2009,0-10,M,عراقي,Married,23
2013,0-10,F,هندي,Divorced,23
2011,0-10,F,إيطالي,Divorced,23
2015,0-10,M,لبناني,Divorced,23
2009,21-40,M,إسباني,Married,23
2011,11-20,M,فرنسي,Married,23
2010,0-10,F,عراقي,Divorced,23
2016,0-10,F,هندي,Married,23
2010,0-10,M,كويتي,Married,23
2012,21-40,F,سوري,Divorced,23
2009,0-10,F,ألماني,Divorced,23
2011,0-10,F,باكستاني,Divorced,23
2015,0-10,F,باكستاني,Divorced,23
2011,21-40,M,ليبي,Married,23
2014,21-40,M,لبناني,Married,23
2014,0-10,M,إيطالي,Divorced,23
2013,21-40,M,كويتي,Married,23
2009,0-10,M,تركي,Married,23
2015,0-10,M,ليبي,Divorced,23
2013,0-10,M,ألماني,Divorced,23
2016,0-10,F,إسباني,Single,23
2017,41-60,F,اردني,Divorced,23
2017,41-60,M,صيني,Married,23
2010,0-10,M,بحريني,Married,23
2015,11-20,F,بحريني,Divorced,23
2010,41-60,F,بريطاني,Divorced,23
2012,21-40,M,سوري,Married,23
2012,21-40,F,مصري,Divorced,23
2016,0-10,F,سوداني,Married,23
2016,41-60,F,سوداني,Divorced,23
2017,21-40,M,قطري,Divorced,23
2012,0-10,M,ياباني,Married,23
2012,0-10,M,سوري,Divorced,23
2015,11-20,F,امريكي,Divorced,23
2016,21-40,M,باكستاني,Divorced,23
2011,11-20,M,ألماني,Married,23
2009,0-10,M,سوداني,Married,23
2014,0-10,F,سوري,Married,23
2013,11-20,M,لبناني,Married,23
2011,21-40,M,ياباني,Married,23
2015,0-10,M,لبناني,Married,23
2012,21-40,M,اماراتي,Divorced,23
2011,0-10,M,باكستاني,Married,23
2013,21-40,M,ألماني,Married,23
2013,0-10,M,إيطالي,Married,23
2017,0-10,F,إيطالي,Married,23
2012,11-20,F,عراقي,Divorced,23
2013,11-20,F,إسباني,Divorced,23
2015,0-10,M,بحريني,Divorced,23
2014,21-40,F,مصري,Divorced,23
2017,0-10,F,فرنسي,Married,23
2011,21-40,F,باكستاني,Divorced,23
2016,0-10,M,عراقي,Divorced,23
2015,11-20,F,عماني,Divorced,23
2011,21-40,M,عراقي,Married,23
2016,0-10,F,امريكي,Divorced,23
2010,0-10,M,عماني,Married,23
2011,21-40,M,صيني,Divorced,23
2014,21-40,M,عماني,Married,23
2015,21-40,M,مصري,Married,23
2013,21-40,M,إسباني,Married,23
2017,0-10,F,تركي,Single,23
2009,0-10,F,هندي,Divorced,23
2015,0-10,M,ألماني,Divorced,23
2010,0-10,F,ياباني,Divorced,23
2014,0-10,F,ياباني,Divorced,23
2014,21-40,F,سوري,Divorced,23
2016,41-60,M,إيطالي,Married,23
2010,0-10,F,بريطاني,Divorced,23
2016,21-40,M,سوداني,Divorced,23
2013,21-40,M,تونسي,Married,23
2014,0-10,M,اردني,Divorced,23
2014,11-20,M,امريكي,Married,23
2009,21-40,M,بحريني,Married,23
2015,0-10,M,امريكي,Married,23
2016,21-40,M,عراقي,Divorced,23
2013,21-40,F,مصري,Divorced,23
2015,11-20,M,تركي,Married,23
2011,21-40,M,مصري,Married,23
2017,11-20,F,قطري,Divorced,23
2010,11-20,F,بريطاني,Divorced,23
2014,11-20,M,لبناني,Married,23
2014,0-10,M,سوري,Divorced,23
2011,21-40,F,تركي,Divorced,23
2009,0-10,M,تونسي,Married,23
2014,21-40,F,إسباني,Divorced,23
2015,11-20,F,كويتي,Divorced,23
2015,0-10,M,عماني,Divorced,23
2011,11-20,F,فرنسي,Divorced,23
2016,21-40,F,كويتي,Divorced,23
2009,0-10,M,إسباني,Married,22
2016,11-20,M,ألماني,Married,22
2010,0-10,M,بريطاني,Married,22
2010,11-20,F,لبناني,Divorced,22
2016,11-20,M,سوداني,Married,22
2009,0-10,M,قطري,Married,22
2014,21-40,F,باكستاني,Divorced,22
2017,0-10,F,مصري,Single,22
2012,0-10,M,مصري,Divorced,22
2011,11-20,F,إسباني,Divorced,22
2017,0-10,F,سوداني,Married,22
2015,0-10,M,إيطالي,Divorced,22
2016,21-40,M,اردني,Married,22
2012,21-40,F,إيطالي,Divorced,22
2017,11-20,F,بريطاني,Divorced,22
2011,41-60,F,سوري,Divorced,22
2012,41-60,M,إيطالي,Married,22
2017,11-20,M,فرنسي,Married,22
2013,21-40,M,امريكي,Married,22
2013,21-40,F,اردني,Divorced,22
2011,0-10,F,عراقي,Divorced,22
2014,21-40,M,ألماني,Divorced,22
2017,0-10,F,إسباني,Single,22
2017,21-40,F,ياباني,Divorced,22
2013,0-10,F,لبناني,Divorced,22
2014,11-20,F,بحريني,Divorced,22
2010,21-40,F,فرنسي,Divorced,22
2014,21-40,M,كويتي,Divorced,22
2015,11-20,F,باكستاني,Divorced,22
2017,0-10,M,اردني,Divorced,22
2010,21-40,M,تركي,Married,22
2012,41-60,F,عراقي,Divorced,22
2016,11-20,M,اماراتي,Married,22
2015,21-40,M,بريطاني,Married,22
2011,11-20,M,بحريني,Married,22
2011,21-40,F,قطري,Divorced,22
2016,21-40,F,عماني,Divorced,22
2012,11-20,F,باكستاني,Divorced,22
2016,41-60,F,بحريني,Divorced,22
2015,41-60,F,امريكي,Divorced,22
2010,41-60,F,صيني,Divorced,22
2017,11-20,M,كويتي,Married,22
2016,41-60,F,ألماني,Divorced,22
2011,11-20,F,بحريني,Divorced,22
2016,11-20,F,هندي,Divorced,22
2010,0-10,F,امريكي,Divorced,22
2015,0-10,F,ياباني,Married,22
2015,11-20,F,إسباني,Divorced,22
2012,11-20,F,إيطالي,Divorced,22
2015,11-20,F,اردني,Divorced,22
2017,11-20,F,عراقي,Divorced,22
2017,11-20,F,تركي,Divorced,22
2015,0-10,M,سوداني,Married,22
2016,41-60,M,مصري,Married,22
2014,41-60,M,بحريني,Married,22
2012,21-40,F,اردني,Divorced,22
2013,21-40,M,صيني,Married,22
2012,0-10,F,مصري,Married,22
2017,11-20,M,باكستاني,Married,22
2009,0-10,F,اماراتي,Divorced,22
2014,21-40,F,امريكي,Divorced,22
2017,0-10,M,فرنسي,Divorced,22
2016,11-20,M,بريطاني,Married,22
2009,0-10,M,هندي,Married,22
2017,11-20,M,امريكي,Married,22
2010,21-40,M,بحريني,Married,22
2013,21-40,M,بحريني,Married,22
2013,11-20,M,عراقي,Married,22
2016,21-40,M,إيطالي,Married,22
2016,11-20,M,باكستاني,Married,22
2017,21-40,F,عراقي,Divorced,22
2016,11-20,M,عراقي,Married,22
2011,21-40,M,باكستاني,Divorced,22
2013,41-60,F,كويتي,Divorced,22
2017,21-40,M,باكستاني,Married,22
2014,0-10,M,ألماني,Divorced,22
2014,11-20,F,تركي,Divorced,22
2017,41-60,F,إسباني,Divorced,22
2013,11-20,M,قطري,Married,22
2017,0-10,F,اردني,Married,22
2010,0-10,M,إيطالي,Married,22
2012,41-60,M,هندي,Married,22
2012,21-40,M,إيطالي,Married,22
2015,21-40,F,تونسي,Divorced,22
2011,0-10,F,سوري,Divorced,22
2013,21-40,M,قطري,Divorced,22
2016,11-20,F,صيني,Divorced,22
2009,0-10,F,بحريني,Divorced,22
2012,0-10,M,فرنسي,Married,22
2009,0-10,F,قطري,Divorced,22
2013,11-20,M,بريطاني,Married,22
2009,21-40,M,اماراتي,Married,22
2017,0-10,M,تركي,Divorced,22
2013,11-20,M,عماني,Married,22
2009,0-10,M,ياباني,Divorced,22
2012,21-40,M,بحريني,Married,22
2014,21-40,F,كويتي,Divorced,22
2010,0-10,M,امريكي,Married,22
2010,0-10,M,ليبي,Married,22
2011,21-40,F,ياباني,Divorced,22
2016,21-40,F,صيني,Divorced,22
2010,21-40,F,عماني,Divorced,22
2011,21-40,M,سوداني,Married,22
2017,41-60,F,صيني,Divorced,22
