control_number,sequence_number,violator_id,status_description,gdate_happened,gdate_paid,original_fine,actual_fine,is_discounted,violation_type_description,registry_location,vehicle_make,vehicle_model,district,city,region,person_type
102253799,7,1391565240,Issued to violator but un-paid,2026-01-29 00:55:16+00:00,,150,150,True,عدم ربط حزام,مرور مكه المكرمه,تويوتا,كروزر,الرحاب 2,تبوك,منطقة تبوك,Saudi
103163980,3,2875299021,Issued to violator but un-paid,2026-01-29 00:51:43+00:00,,300,300,False,عدم امتلاك لوحة أمامية أو خلفية,مرور الناصرية,تويوتا,كورولا,حى الصناعية الجديدة,عرعر,الحدود الشمالية,Alien
102253799,9,2929953113,Issued to violator but un-paid,2026-01-29 00:51:34+00:00,,150,150,False,عدم ربط حزام,مرور الناصرية,كيا,سيراتو,السوق,سكاكا,منطقة الجوف,Alien
100925051,10,1579725265,Issued to violator but un-paid,2026-01-29 00:45:22+00:00,,100,100,False,وقوف المركبة في اماكن غير مخصصة للوقوف,مرور مكه المكرمه,بي إم دبليو,بي إم دبليو 3 Series,الصناعية,نجران,منطقة نجران,Saudi
100925051,1,1419954849,Issued to violator but un-paid,2026-01-29 00:40:13+00:00,,100,100,True,وقوف المركبة في اماكن غير مخصصة للوقوف,مرور شمال رياض,بي إم دبليو,بي إم دبليو X5,النزهة,دومة الجندل,منطقة الجوف,Saudi
100925051,4,1890516312,Issued to violator but un-paid,2026-01-29 00:37:50+00:00,,100,100,True,وقوف المركبة في اماكن غير مخصصة للوقوف,مرور حفرالباطن,تويوتا,راش,الحشو,بلجرشي,منطقة الباحة,Saudi
103163980,6,2402518807,Issued to violator but un-paid,2026-01-29 00:37:24+00:00,,300,300,False,عدم امتلاك لوحة أمامية أو خلفية,مرور حفرالباطن,كيا,سبورتاج,حي العزيزية,مكة المكرمة,منطقة مكة المكرمة,Alien
100925051,10,1534551878,Issued to violator but un-paid,2026-01-29 00:35:42+00:00,,100,100,False,وقوف المركبة في اماكن غير مخصصة للوقوف,مرور مكه المكرمه,تويوتا,راش,الصدر,الباحة,منطقة الباحة,Saudi
100925051,2,1123433079,Issued to violator but un-paid,2026-01-29 00:32:09+00:00,,100,100,True,وقوف المركبة في اماكن غير مخصصة للوقوف,مرور شمال رياض,بي إم دبليو,بي إم دبليو 3 Series,السوق,سكاكا,منطقة الجوف,Saudi
102253799,3,2273482196,Issued to violator but un-paid,2026-01-29 00:31:49+00:00,,150,150,False,عدم ربط حزام,مرور الناصرية,مرسيدس بنز,مرسيدس بنز E-Class,المطار,نجران,منطقة نجران,Alien
102253799,7,1095395619,Issued to violator but un-paid,2026-01-29 00:27:14+00:00,,150,150,False,عدم ربط حزام,مرور المدينة المنورة,هيونداي,توسان,العزيزية,الخرج,منطقة الرياض,Saudi
102253799,1,2807324978,Issued to violator but un-paid,2026-01-29 00:22:50+00:00,,150,150,False,عدم ربط حزام,مرور الحاير,فورد,رينجر,الفيصلية,نجران,منطقة نجران,Alien
101571189,1,1204380973,Issued to violator but un-paid,2026-01-29 00:19:08+00:00,,1200,1200,True,دخول أو خروج الشاحنات في أوقات المنع,مرور حفرالباطن,تويوتا,كامري,الزهراء,الباحة,منطقة الباحة,Saudi
102253799,6,1615662054,Issued to violator but un-paid,2026-01-29 00:19:02+00:00,,150,150,False,عدم ربط حزام,مرور حفرالباطن,نيسان,نافارا,النزهة,دومة الجندل,منطقة الجوف,Saudi
102253799,7,2505289516,Issued to violator but un-paid,2026-01-29 00:16:32+00:00,,150,150,True,عدم ربط حزام,مرور الخرج,مرسيدس بنز,مرسيدس بنز G-Class,الصدر,الباحة,منطقة الباحة,Alien
100925051,3,1531131584,Issued to violator but un-paid,2026-01-29 00:15:25+00:00,,100,100,False,وقوف المركبة في اماكن غير مخصصة للوقوف,مرور حفرالباطن,كيا,سيراتو,الحمراء,جدة,منطقة مكة المكرمة,Saudi
100925051,6,1693261104,Issued to violator but un-paid,2026-01-29 00:11:39+00:00,,100,100,False,وقوف المركبة في اماكن غير مخصصة للوقوف,مرور الناصرية,بي إم دبليو,بي إم دبليو X5,الاحد,بلجرشي,منطقة الباحة,Saudi
102218740,3,2748525186,Issued to violator but un-paid,2026-01-29 00:09:59+00:00,,1000,1000,True,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,مرور الحاير,نيسان,ألتيما,الطلعة الشمالية,ضبا,منطقة تبوك,Alien
100925051,4,2600136635,Issued to violator but un-paid,2026-01-29 00:04:21+00:00,,100,100,False,وقوف المركبة في اماكن غير مخصصة للوقوف,مرور مكه المكرمه,هيونداي,توسان,المطار,جازان,منطقة جازان,Alien
102253799,6,1909212152,Issued to violator but un-paid,2026-01-28 23:54:04+00:00,,150,150,True,عدم ربط حزام,مرور شمال رياض,فورد,إكسبلورر,الصناعية,نجران,منطقة نجران,Saudi
101571189,10,1225146918,Issued to violator but un-paid,2026-01-28 23:53:42+00:00,,1200,1200,True,دخول أو خروج الشاحنات في أوقات المنع,مرور حفرالباطن,مازدا,مازدا CX-5,الصناعية,نجران,منطقة نجران,Saudi
100925051,9,1965406365,Issued to violator but un-paid,2026-01-28 23:53:19+00:00,,100,100,False,وقوف المركبة في اماكن غير مخصصة للوقوف,مرور الناصرية,كيا,سبورتاج,البلد,جدة,منطقة مكة المكرمة,Saudi
103163980,2,2154061542,Issued to violator but un-paid,2026-01-28 23:53:02+00:00,,300,300,True,عدم امتلاك لوحة أمامية أو خلفية,مرور المدينة المنورة,هيونداي,كريتا,الغدير,الرياض,منطقة الرياض,Alien
102253799,5,2292288915,Issued to violator but un-paid,2026-01-28 23:49:09+00:00,,150,150,True,عدم ربط حزام,مرور الحاير,شيفروليه,تاهو,حي المصيف,الوجه,منطقة تبوك,Alien
102218740,7,2807324978,Issued to violator but un-paid,2026-01-28 23:48:21+00:00,,1000,1000,True,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,مرور الخرج,فورد,رينجر,الصفا,جازان,منطقة جازان,Alien
102218740,8,2412180810,Issued to violator but un-paid,2026-01-28 23:46:55+00:00,,1000,1000,True,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,مرور الحاير,كيا,سبورتاج,الزهراء,الباحة,منطقة الباحة,Alien
102218740,7,2479180984,Issued to violator but un-paid,2026-01-28 23:45:01+00:00,,1000,1000,True,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,مرور الناصرية,شيفروليه,تاهو,العقله,الباحة,منطقة الباحة,Alien
100925051,8,1082636807,Issued to violator but un-paid,2026-01-28 23:41:17+00:00,,100,100,False,وقوف المركبة في اماكن غير مخصصة للوقوف,مرور حفرالباطن,كيا,ريو,الخالدية,صبيا,منطقة جازان,Saudi
102218740,5,2362762377,Issued to violator but un-paid,2026-01-28 23:37:20+00:00,,1000,1000,True,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,مرور الحاير,فورد,إكسبلورر,النزهة,دومة الجندل,منطقة الجوف,Alien
100925051,6,1570044825,Issued to violator but un-paid,2026-01-28 23:37:05+00:00,,100,100,True,وقوف المركبة في اماكن غير مخصصة للوقوف,مرور الحاير,كيا,ريو,الحشو,بلجرشي,منطقة الباحة,Saudi
103163980,8,2755445003,Issued to violator but un-paid,2026-01-28 23:33:46+00:00,,300,300,True,عدم امتلاك لوحة أمامية أو خلفية,مرور شمال رياض,لكزس,لكزس LX,الطلعة الشمالية,ضبا,منطقة تبوك,Alien
101571189,10,1632543333,Issued to violator but un-paid,2026-01-28 23:29:28+00:00,,1200,1200,False,دخول أو خروج الشاحنات في أوقات المنع,مرور حفرالباطن,شيفروليه,تاهو,الخالدية,صبيا,منطقة جازان,Saudi
101571189,7,2647536430,Issued to violator but un-paid,2026-01-28 23:22:50+00:00,,1200,1200,False,دخول أو خروج الشاحنات في أوقات المنع,مرور حفرالباطن,نيسان,باترول,الاحد,بلجرشي,منطقة الباحة,Alien
101571189,6,1156976727,Issued to violator but un-paid,2026-01-28 23:22:50+00:00,,1200,1200,True,دخول أو خروج الشاحنات في أوقات المنع,مرور المدينة المنورة,فورد,إكسبلورر,الصناعية,نجران,منطقة نجران,Saudi
102218740,8,2972698657,Issued to violator but un-paid,2026-01-28 23:22:49+00:00,,1000,1000,False,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,مرور حفرالباطن,نيسان,صني,الاحد,بلجرشي,منطقة الباحة,Alien
102253799,6,2660767359,Issued to violator but un-paid,2026-01-28 23:15:52+00:00,,150,150,True,عدم ربط حزام,مرور الخرج,لكزس,لكزس RX,الحشو,بلجرشي,منطقة الباحة,Alien
100925051,9,2897772877,Issued to violator but un-paid,2026-01-28 23:09:31+00:00,,100,100,False,وقوف المركبة في اماكن غير مخصصة للوقوف,مرور شمال رياض,ميتسوبيشي,لانسر,الحشو,بلجرشي,منطقة الباحة,Alien
102218740,9,1458158408,Issued to violator but un-paid,2026-01-28 23:05:44+00:00,,1000,1000,True,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,مرور شمال رياض,تويوتا,راش,الخالدية,صبيا,منطقة جازان,Saudi
103163980,9,2486691710,Issued to violator but un-paid,2026-01-28 23:03:36+00:00,,300,300,False,عدم امتلاك لوحة أمامية أو خلفية,مرور الحاير,هيونداي,توسان,حى الصناعية الجديدة,عرعر,الحدود الشمالية,Alien
103163980,9,2829815507,Issued to violator but un-paid,2026-01-28 23:00:26+00:00,,300,300,True,عدم امتلاك لوحة أمامية أو خلفية,مرور الناصرية,كيا,سيراتو,الفيصلية,الخرج,منطقة الرياض,Alien
100925051,3,1267945850,Issued to violator but un-paid,2026-01-28 22:56:52+00:00,,100,100,True,وقوف المركبة في اماكن غير مخصصة للوقوف,مرور المدينة المنورة,كيا,سيراتو,السلام,الخرج,منطقة الرياض,Saudi
100925051,4,1359833210,Issued to violator but un-paid,2026-01-28 22:55:55+00:00,,100,100,True,وقوف المركبة في اماكن غير مخصصة للوقوف,مرور الخرج,تويوتا,كروزر,الاحد,بلجرشي,منطقة الباحة,Saudi
100925051,4,2162909655,Issued to violator but un-paid,2026-01-28 22:53:31+00:00,,100,100,True,وقوف المركبة في اماكن غير مخصصة للوقوف,مرور شمال رياض,تويوتا,كورولا,النزهة,دومة الجندل,منطقة الجوف,Alien
102253799,3,1655065119,Issued to violator but un-paid,2026-01-28 22:53:23+00:00,,150,150,True,عدم ربط حزام,مرور المدينة المنورة,بي إم دبليو,بي إم دبليو 3 Series,النجيل,ضبا,منطقة تبوك,Saudi
102253799,10,1368098379,Issued to violator but un-paid,2026-01-28 22:52:18+00:00,,150,150,True,عدم ربط حزام,مرور الناصرية,مرسيدس بنز,مرسيدس بنز G-Class,الخالدية,صبيا,منطقة جازان,Saudi
102253799,1,1424654181,Issued to violator but un-paid,2026-01-28 22:49:07+00:00,,150,150,True,عدم ربط حزام,مرور الحاير,ميتسوبيشي,باجيرو,حي النسيم,عرعر,الحدود الشمالية,Saudi
101571189,9,1962202363,Issued to violator but un-paid,2026-01-28 22:45:22+00:00,,1200,1200,True,دخول أو خروج الشاحنات في أوقات المنع,مرور الحاير,تويوتا,كروزر,العقله,الباحة,منطقة الباحة,Saudi
103163980,5,1863639331,Issued to violator but un-paid,2026-01-28 22:42:30+00:00,,300,300,False,عدم امتلاك لوحة أمامية أو خلفية,مرور الخرج,نيسان,ألتيما,العقله,الباحة,منطقة الباحة,Saudi
102218740,3,1213617977,Issued to violator but un-paid,2026-01-28 22:42:07+00:00,,1000,1000,True,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,مرور شمال رياض,تويوتا,كروزر,الزهراء,جدة,منطقة مكة المكرمة,Saudi
100925051,6,1266085943,Issued to violator but un-paid,2026-01-28 22:40:42+00:00,,100,100,False,وقوف المركبة في اماكن غير مخصصة للوقوف,مرور الحاير,فورد,رينجر,الخالدية,صبيا,منطقة جازان,Saudi
101571189,7,2807324978,Issued to violator but un-paid,2026-01-28 22:34:43+00:00,,1200,1200,True,دخول أو خروج الشاحنات في أوقات المنع,مرور الناصرية,فورد,رينجر,الاحد,بلجرشي,منطقة الباحة,Alien
103163980,2,1301797869,Issued to violator but un-paid,2026-01-28 22:34:33+00:00,,300,300,True,عدم امتلاك لوحة أمامية أو خلفية,مرور حفرالباطن,هيونداي,سوناتا,الصناعية,نجران,منطقة نجران,Saudi
103163980,1,1972836235,Issued to violator but un-paid,2026-01-28 22:33:04+00:00,,300,300,False,عدم امتلاك لوحة أمامية أو خلفية,مرور شمال رياض,نيسان,نافارا,حي العزيزية,مكة المكرمة,منطقة مكة المكرمة,Saudi
102253799,1,1015738857,Issued to violator but un-paid,2026-01-28 22:28:11+00:00,,150,150,True,عدم ربط حزام,مرور مكه المكرمه,تويوتا,كروزر,الصناعية,نجران,منطقة نجران,Saudi
102218740,1,1113592928,Issued to violator but un-paid,2026-01-28 22:26:30+00:00,,1000,1000,True,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,مرور الخرج,نيسان,صني,الفيصلية,نجران,منطقة نجران,Saudi
100925051,4,1016449081,Issued to violator but un-paid,2026-01-28 22:19:36+00:00,,100,100,False,وقوف المركبة في اماكن غير مخصصة للوقوف,مرور الخرج,شيفروليه,سبارك,البستان,سكاكا,منطقة الجوف,Saudi
102253799,5,2722799383,Issued to violator but un-paid,2026-01-28 22:18:30+00:00,,150,150,False,عدم ربط حزام,مرور حفرالباطن,تويوتا,راش,الطلعة الشمالية,ضبا,منطقة تبوك,Alien
101571189,5,1246644927,Issued to violator but un-paid,2026-01-28 22:16:51+00:00,,1200,1200,True,دخول أو خروج الشاحنات في أوقات المنع,مرور الناصرية,كيا,سيراتو,الصفا,جازان,منطقة جازان,Saudi
102253799,10,2711872300,Issued to violator but un-paid,2026-01-28 22:14:24+00:00,,150,150,False,عدم ربط حزام,مرور الخرج,شيفروليه,تاهو,الطلعة الشمالية,ضبا,منطقة تبوك,Alien
103163980,5,1539210380,Issued to violator but un-paid,2026-01-28 22:14:16+00:00,,300,300,False,عدم امتلاك لوحة أمامية أو خلفية,مرور مكه المكرمه,نيسان,نافارا,النعيم,جدة,منطقة مكة المكرمة,Saudi
102218740,10,1953572360,Issued to violator but un-paid,2026-01-28 22:13:16+00:00,,1000,1000,False,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,مرور مكه المكرمه,نيسان,ألتيما,الخالدية,صبيا,منطقة جازان,Saudi
103163980,9,1686084400,Issued to violator but un-paid,2026-01-28 22:13:07+00:00,,300,300,False,عدم امتلاك لوحة أمامية أو خلفية,مرور شمال رياض,هيونداي,سوناتا,الفيصلية,نجران,منطقة نجران,Saudi
103163980,1,2894313714,Issued to violator but un-paid,2026-01-28 22:12:45+00:00,,300,300,False,عدم امتلاك لوحة أمامية أو خلفية,مرور المدينة المنورة,نيسان,صني,النزهة,مكة المكرمة,منطقة مكة المكرمة,Alien
103163980,4,2937242023,Issued to violator but un-paid,2026-01-28 22:10:12+00:00,,300,300,False,عدم امتلاك لوحة أمامية أو خلفية,مرور الحاير,فورد,رينجر,الفيصلية,نجران,منطقة نجران,Alien
100925051,2,1804217515,Issued to violator but un-paid,2026-01-28 22:09:11+00:00,,100,100,False,وقوف المركبة في اماكن غير مخصصة للوقوف,مرور شمال رياض,ميتسوبيشي,لانسر,حى الفيصلية,رفحاء,الحدود الشمالية,Saudi
101571189,10,2509147821,Issued to violator but un-paid,2026-01-28 22:06:01+00:00,,1200,1200,False,دخول أو خروج الشاحنات في أوقات المنع,مرور المدينة المنورة,مرسيدس بنز,مرسيدس بنز E-Class,الملقا,الرياض,منطقة الرياض,Alien
103163980,6,2952853288,Issued to violator but un-paid,2026-01-28 22:04:12+00:00,,300,300,True,عدم امتلاك لوحة أمامية أو خلفية,مرور المدينة المنورة,نيسان,صني,العليا,تبوك,منطقة تبوك,Alien
101571189,8,2258160080,Issued to violator but un-paid,2026-01-28 22:01:38+00:00,,1200,1200,False,دخول أو خروج الشاحنات في أوقات المنع,مرور حفرالباطن,فورد,إكسبلورر,الياسمين,سكاكا,منطقة الجوف,Alien
103163980,5,2403822545,Issued to violator but un-paid,2026-01-28 21:58:28+00:00,,300,300,True,عدم امتلاك لوحة أمامية أو خلفية,مرور مكه المكرمه,فورد,رينجر,حي البلد,الوجه,منطقة تبوك,Alien
101571189,1,1941631434,Issued to violator but un-paid,2026-01-28 21:57:46+00:00,,1200,1200,True,دخول أو خروج الشاحنات في أوقات المنع,مرور الناصرية,مازدا,مازدا CX-5,الشرائع,مكة المكرمة,منطقة مكة المكرمة,Saudi
103163980,2,1118281785,Issued to violator but un-paid,2026-01-28 21:57:20+00:00,,300,300,True,عدم امتلاك لوحة أمامية أو خلفية,مرور المدينة المنورة,شيفروليه,سبارك,الزهراء,الباحة,منطقة الباحة,Saudi
101571189,7,2071149932,Issued to violator but un-paid,2026-01-28 21:54:44+00:00,,1200,1200,True,دخول أو خروج الشاحنات في أوقات المنع,مرور الناصرية,مرسيدس بنز,مرسيدس بنز G-Class,الصناعية,نجران,منطقة نجران,Alien
102218740,9,1536841462,Issued to violator but un-paid,2026-01-28 21:53:46+00:00,,1000,1000,True,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,مرور مكه المكرمه,بي إم دبليو,بي إم دبليو 3 Series,الزهراء,الباحة,منطقة الباحة,Saudi
102218740,5,2429607912,Issued to violator but un-paid,2026-01-28 21:53:45+00:00,,1000,1000,False,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,مرور الخرج,شيفروليه,سبارك,النسيم,الرياض,منطقة الرياض,Alien
102218740,9,1743292416,Issued to violator but un-paid,2026-01-28 21:53:24+00:00,,1000,1000,True,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,مرور حفرالباطن,جيب,شيروكي,حى المطار القديم,عرعر,الحدود الشمالية,Saudi
101571189,10,2161939315,Issued to violator but un-paid,2026-01-28 21:52:17+00:00,,1200,1200,True,دخول أو خروج الشاحنات في أوقات المنع,مرور الحاير,تويوتا,اف جي كروزر,المطار,نجران,منطقة نجران,Alien
101571189,3,2839445490,Issued to violator but un-paid,2026-01-28 21:50:21+00:00,,1200,1200,True,دخول أو خروج الشاحنات في أوقات المنع,مرور حفرالباطن,تويوتا,كامري,الفيصلية,نجران,منطقة نجران,Alien
101571189,9,2918243483,Issued to violator but un-paid,2026-01-28 21:47:27+00:00,,1200,1200,False,دخول أو خروج الشاحنات في أوقات المنع,مرور شمال رياض,مازدا,مازدا CX-5,حى المطار القديم,عرعر,الحدود الشمالية,Alien
100925051,8,1608073125,Issued to violator but un-paid,2026-01-28 21:42:17+00:00,,100,100,True,وقوف المركبة في اماكن غير مخصصة للوقوف,مرور حفرالباطن,كيا,كارينز,الخالدية,صبيا,منطقة جازان,Saudi
101571189,3,1521231725,Issued to violator but un-paid,2026-01-28 21:40:25+00:00,,1200,1200,False,دخول أو خروج الشاحنات في أوقات المنع,مرور الخرج,جيب,رانجلر,الصفرات,الدرعية,منطقة الرياض,Saudi
101571189,3,2299763692,Issued to violator but un-paid,2026-01-28 21:39:04+00:00,,1200,1200,False,دخول أو خروج الشاحنات في أوقات المنع,مرور الناصرية,نيسان,صني,الزهراء,الباحة,منطقة الباحة,Alien
101571189,8,1648441493,Issued to violator but un-paid,2026-01-28 21:38:55+00:00,,1200,1200,False,دخول أو خروج الشاحنات في أوقات المنع,مرور الناصرية,ميتسوبيشي,لانسر,حي البلد,الوجه,منطقة تبوك,Saudi
102218740,8,2093531815,Issued to violator but un-paid,2026-01-28 21:38:16+00:00,,1000,1000,False,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,مرور الناصرية,بي إم دبليو,بي إم دبليو X5,الروضة,الرياض,منطقة الرياض,Alien
100925051,10,2324234907,Issued to violator but un-paid,2026-01-28 21:38:14+00:00,,100,100,False,وقوف المركبة في اماكن غير مخصصة للوقوف,مرور حفرالباطن,نيسان,صني,العقله,الباحة,منطقة الباحة,Alien
100925051,9,1492719897,Issued to violator but un-paid,2026-01-28 21:36:22+00:00,,100,100,True,وقوف المركبة في اماكن غير مخصصة للوقوف,مرور الخرج,بي إم دبليو,بي إم دبليو X5,حي المصيف,الوجه,منطقة تبوك,Saudi
100925051,10,1438580711,Issued to violator but un-paid,2026-01-28 21:35:34+00:00,,100,100,True,وقوف المركبة في اماكن غير مخصصة للوقوف,مرور الناصرية,هيونداي,سوناتا,الروضة,جدة,منطقة مكة المكرمة,Saudi
103163980,5,1740845887,Issued to violator but un-paid,2026-01-28 21:33:38+00:00,,300,300,False,عدم امتلاك لوحة أمامية أو خلفية,مرور شمال رياض,تويوتا,كروزر,حي المصيف,الوجه,منطقة تبوك,Saudi
102253799,9,2996852747,Issued to violator but un-paid,2026-01-28 21:33:09+00:00,,150,150,False,عدم ربط حزام,مرور شمال رياض,مرسيدس بنز,مرسيدس بنز G-Class,الخالدية,صبيا,منطقة جازان,Alien
102218740,2,2451762481,Issued to violator but un-paid,2026-01-28 21:33:06+00:00,,1000,1000,False,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,مرور الحاير,ميتسوبيشي,باجيرو,الصدر,الباحة,منطقة الباحة,Alien
101571189,2,1407148850,Issued to violator but un-paid,2026-01-28 21:32:24+00:00,,1200,1200,True,دخول أو خروج الشاحنات في أوقات المنع,مرور الخرج,كيا,سبورتاج,المطار,جازان,منطقة جازان,Saudi
102253799,5,2849402405,Issued to violator but un-paid,2026-01-28 21:31:09+00:00,,150,150,True,عدم ربط حزام,مرور حفرالباطن,هيونداي,توسان,المطار,جازان,منطقة جازان,Alien
103163980,1,2240054519,Issued to violator but un-paid,2026-01-28 21:25:16+00:00,,300,300,True,عدم امتلاك لوحة أمامية أو خلفية,مرور المدينة المنورة,لكزس,لكزس LX,الوادي,دومة الجندل,منطقة الجوف,Alien
100925051,10,2526843039,Issued to violator but un-paid,2026-01-28 21:24:56+00:00,,100,100,False,وقوف المركبة في اماكن غير مخصصة للوقوف,مرور مكه المكرمه,هوندا,هوندا سيفيك,النسيم,الرياض,منطقة الرياض,Alien
103163980,8,2409345741,Issued to violator but un-paid,2026-01-28 21:22:26+00:00,,300,300,True,عدم امتلاك لوحة أمامية أو خلفية,مرور شمال رياض,هيونداي,توسان,الياسمين,سكاكا,منطقة الجوف,Alien
100925051,3,2627138845,Issued to violator but un-paid,2026-01-28 21:21:22+00:00,,100,100,False,وقوف المركبة في اماكن غير مخصصة للوقوف,مرور الحاير,كيا,سبورتاج,الحشو,بلجرشي,منطقة الباحة,Alien
100925051,9,2876173969,Issued to violator but un-paid,2026-01-28 21:21:11+00:00,,100,100,True,وقوف المركبة في اماكن غير مخصصة للوقوف,مرور الحاير,هيونداي,سوناتا,الاحد,بلجرشي,منطقة الباحة,Alien
102253799,6,2601964177,Issued to violator but un-paid,2026-01-28 21:20:51+00:00,,150,150,True,عدم ربط حزام,مرور الخرج,كيا,ريو,الروضة,جازان,منطقة جازان,Alien
100925051,8,1186662660,Issued to violator but un-paid,2026-01-28 21:17:25+00:00,,100,100,False,وقوف المركبة في اماكن غير مخصصة للوقوف,مرور شمال رياض,مازدا,مازدا 3,الطويريق,رفحاء,الحدود الشمالية,Saudi
103163980,1,2060893521,Issued to violator but un-paid,2026-01-28 21:15:30+00:00,,300,300,False,عدم امتلاك لوحة أمامية أو خلفية,مرور المدينة المنورة,تويوتا,اف جي كروزر,حي المسفلة,مكة المكرمة,منطقة مكة المكرمة,Alien
102253799,9,2766521353,Issued to violator but un-paid,2026-01-28 21:15:11+00:00,,150,150,True,عدم ربط حزام,مرور شمال رياض,لكزس,لكزس LX,حى الصناعية الجديدة,عرعر,الحدود الشمالية,Alien
101571189,3,1154195394,Issued to violator but un-paid,2026-01-28 21:13:13+00:00,,1200,1200,False,دخول أو خروج الشاحنات في أوقات المنع,مرور شمال رياض,تويوتا,اف جي كروزر,التهامي,الخرج,منطقة الرياض,Saudi
100925051,3,2022346132,Issued to violator but un-paid,2026-01-28 21:12:40+00:00,,100,100,False,وقوف المركبة في اماكن غير مخصصة للوقوف,مرور الحاير,كيا,ريو,الصدر,الباحة,منطقة الباحة,Alien
101571189,5,2677854835,Issued to violator but un-paid,2026-01-28 21:11:58+00:00,,1200,1200,False,دخول أو خروج الشاحنات في أوقات المنع,مرور الناصرية,تويوتا,اف جي كروزر,الفرسان,الدرعية,منطقة الرياض,Alien
103163980,2,2239551665,Issued to violator but un-paid,2026-01-28 21:10:46+00:00,,300,300,False,عدم امتلاك لوحة أمامية أو خلفية,مرور مكه المكرمه,ميتسوبيشي,لانسر,حي البلد,الوجه,منطقة تبوك,Alien
103163980,5,2018007258,Issued to violator but un-paid,2026-01-28 21:09:34+00:00,,300,300,True,عدم امتلاك لوحة أمامية أو خلفية,مرور حفرالباطن,شيفروليه,كابريس,الاحد,بلجرشي,منطقة الباحة,Alien
100925051,8,1384780333,Issued to violator but un-paid,2026-01-28 21:08:58+00:00,,100,100,False,وقوف المركبة في اماكن غير مخصصة للوقوف,مرور الخرج,تويوتا,كروزر,الفلاح,تبوك,منطقة تبوك,Saudi
102253799,2,1947728031,Issued to violator but un-paid,2026-01-28 21:08:53+00:00,,150,150,True,عدم ربط حزام,مرور الخرج,كيا,ريو,حى الصناعية الجديدة,عرعر,الحدود الشمالية,Saudi
103163980,7,2184604595,Issued to violator but un-paid,2026-01-28 21:08:25+00:00,,300,300,False,عدم امتلاك لوحة أمامية أو خلفية,مرور المدينة المنورة,جيب,شيروكي,البجيري,الدرعية,منطقة الرياض,Alien
102218740,4,1285115832,Issued to violator but un-paid,2026-01-28 21:06:54+00:00,,1000,1000,False,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,مرور الخرج,ميتسوبيشي,باجيرو,المطار,جازان,منطقة جازان,Saudi
102253799,1,1290308435,Issued to violator but un-paid,2026-01-28 21:05:56+00:00,,150,150,True,عدم ربط حزام,مرور الحاير,هيونداي,توسان,الخالدية,صبيا,منطقة جازان,Saudi
102253799,8,1777986187,Issued to violator but un-paid,2026-01-28 21:03:06+00:00,,150,150,True,عدم ربط حزام,مرور الخرج,كيا,سبورتاج,العزيزية,الخرج,منطقة الرياض,Saudi
102218740,4,2142595981,Issued to violator but un-paid,2026-01-28 21:02:02+00:00,,1000,1000,False,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,مرور المدينة المنورة,فورد,إكسبلورر,السلام,الخرج,منطقة الرياض,Alien
101571189,1,1149018483,Issued to violator but un-paid,2026-01-28 21:01:04+00:00,,1200,1200,False,دخول أو خروج الشاحنات في أوقات المنع,مرور شمال رياض,مازدا,مازدا 3,المطار,نجران,منطقة نجران,Saudi
102218740,10,2347072086,Issued to violator but un-paid,2026-01-28 21:00:35+00:00,,1000,1000,True,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,مرور الناصرية,مازدا,مازدا 3,الحشو,بلجرشي,منطقة الباحة,Alien
101571189,9,2625758787,Issued to violator but un-paid,2026-01-28 21:00:09+00:00,,1200,1200,False,دخول أو خروج الشاحنات في أوقات المنع,مرور الحاير,لكزس,لكزس LX,الحشو,بلجرشي,منطقة الباحة,Alien
102218740,6,2956523160,Issued to violator but un-paid,2026-01-28 20:59:00+00:00,,1000,1000,False,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,مرور الخرج,فورد,إكسبلورر,المنتزه,الخرج,منطقة الرياض,Alien
102253799,6,1596565023,Issued to violator but un-paid,2026-01-28 20:56:39+00:00,,150,150,True,عدم ربط حزام,مرور الخرج,نيسان,نافارا,حى الصناعية الجديدة,عرعر,الحدود الشمالية,Saudi
102253799,3,1210441866,Issued to violator but un-paid,2026-01-28 20:49:09+00:00,,150,150,False,عدم ربط حزام,مرور الناصرية,تويوتا,كامري,الملقا,الرياض,منطقة الرياض,Saudi
